tay,english,source,kindOf,dialect
"nano' sqo 'myonaw qo mlahang sa rhzyal qani ga, wayal minblayqon smyok na Sexo' qo pinsina' na Genzyominzok ha. ro nano' wayal balay swalan na Sexo' ro wal cikay ozi qo pintzyoaw naha'. misow qani lga, kya lqo si say hopa' balay rinrogan na""Yoencominco' cipnxwa'""qani, ga ini si inlongan balay na Sexo'. mssoqi' iyal qo ptzyoaw myan, ro ini' pintayhok pintzyoaw myan, ro ini' qblaq iyal qo pintzyoaw myan. nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sa Genzyominco' qani.","After the democratic transition, the country began to respond to the appeals of indigenous movements. The government made certain promises and efforts. Today, we have an Indigenous Peoples Basic Law that is quite advanced. However, government agencies have not given sufficient weight to this law. Our actions have not been fast enough, comprehensive enough or sound enough. For this, I apologize to the indigenous peoples on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"si ta' mlox maha Syakay na ""twoyo_en wnxwa'"" Taywan qani. ga, tayhok ssawni' qani ga, kwara' pinsbaq sqo kklahang sa sklawkah hi', ro Kyo_ ik, Kezay Sekat, sangka' sa Sezi', ro pzyox qo sngoson qotox qotox pcyowagan ga, ini' pqbbaq na' sqo kinpzyox na iyat Genzyominzok. tmrang sqani ozi na' qo knita' naha' sa Genzyominzok, ro si say maha kincikoy knita' naha' sa Genzyominzok ga nyox msthay cikay na'. ini' pintayhok na' pintzyoaw na Sexo', ro yasa qo niwan nyox simo pqmolan na' ka iyat naha' kinbaq ka kinmxayal na inlongan mamo qani. nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sa Genzyominzok qani.","Taiwan is known as a culturally diverse society. But even today, indicators on health, education, economic livelihood, political participation and more still show gaps between indigenous and non- indigenous peoples. Meanwhile, stereotypes and even discrimination against indigenous peoples have not gone away. The government has not done enough, so indigenous peoples have suffered pain and frustration unknown to other ethnic peoples. For this, I apologize to the indigenous peoples on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"ini' tayhok na' kinlawkahan myan mtzyoaw, ro ongat ozi sqoliq mita' sqo ini' pintayhok kinlawkah pintzyoaw myan, yasa qo nyox simo ps'bkan ro mocing sawni' qani. yaqih sami balay la! nano' qo tnatok myan tonox ssawni' qani ga, ana maha talagay kin mqssoqi' balay qani ga, yani qo nyox t'aring na' ki! ini' sako' kosa maha ta qo ryax pinsqzinot kinmxyalan inlongan mamo sa spayat kbhol msyaw kawas wayal qani ga, psi ptmasoq sqo qotox binrwan biro' qani, ro qotox kay' na tnatok mako' tonox qani. ana ga inlongan mako' balay lmnglong maha, tnatok mako' ssawni' qani ga, minkahol sqo 'ringan mosa' mtbalay kwara' nyox qsahoy na Koka' qani.","Our efforts have fallen short, and succeeding generations have been blind to this inadequacy. Because of this, your hardship has continued to this day. For this we are truly sorry. Today's apology is long overdue, but it is a beginning. I do not expect any one speech or phrase of apology to wipe away four centuries of pain and suffering by the indigenous peoples. But I do hope with all my heart that today's apology will set this country and all its people on the path towards reconciliation.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"anay mako' skahol sqo kinblayqan tonox smi' sa kay' na Genzyominzok kmayal sqo nyox ta' aylhoyan ssawni' qani. kay' na 'Tayal hya' ga ka ""balay balay na zyoaw"" ga, Balay sawn naha'. ro mtbalay hya' ga Sbalay sawn naha', niwan maha o twangan naha' sa ""S"" qo glaing na Balay qasa. balay balay sqo mtbalay qani ga, m'oboy qo awsa' kkyalan na sazing kay' qani hya'. qotox ozi qo kay' qani hya' ga, spzyang balay na mtbalay qani hya' ga, nano' si ki minkahol sa inlongan balay mosa' mssongos mkal sa zyoaw balay ga, thozyay mtbalay qo zyoaw.","Please allow me to shed light on this occasion with a piece of indigenous wisdom. In the Atayal language, truth is called ""Balay"", and reconciliation is called ""Sbalay"", so you simply add an ""S"" sound to ""Balay"". Truth and reconciliation are in fact two related concepts. In other words, only by facing the truth sincerely can reconciliation be attained.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"Gaga' na Genzyominzok hya' iy kya qo wal naha' inzhoqon saxa' lga, ato' na maki' inlongan naha' aki' mosa' Sbalay ga, motow paylhoyon na Mrhow qo msinzyoaw rrosa' qasa. paylhoyon naha' ga, iyat maha yaqo mosa' tmatok tonox, yaqo ppgwah sa inlongan naha' balay, ro kmayal sqo maha swa' maha qasa. tmasoq kmayal sa inlongan naha' lga, mplaw mnbow qwaw kya la, ro kwara' wayal ka kinzyaqih inlongan naha' lga, wayal balay ozi la. yani qo sawn naha' Sbalay.","In indigenous cultures, when a tribe member has offended another and intends to reconcile, an elder brings together the offender and the offended – not to produce a direct apology, but to allow each side to frankly share their inner journeys. When this truth-telling concludes, the elder calls for everyone to drink together, so that what is past is truly past. This is ""Sbalay"".",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"nyox mako' pkmn_gawn balay sqo inlhoyan ta' ssawni' qani ga, yani qo mosa' psbalay zyoaw na Sexo' sqo Genzyominzok. kwara' ka inzhoqan sqo kinwayal qani ga, kwara' ka zyoaw balay wayal qasa ga, si say maha kyaqo wal mako' baqon kwara' ga, wayal mako' skayal kwara' ro ongat ana qotox wal mako' zhoqan kmayal. nano' kira' ozi ga, kaylanay na Genzyominzok ozi qo inllongan naha'. ini' sako' kosa maha aki' mamo swalan qo inlongan mako', ga, inlongan mako' balay mnaga' sqo maha kana pinpayposal lawzi qo inzhoqan sa wayal qani, pkaki' balay qotox ryax nqo mosa' mtbalay balay.","I hope today's occasion can be a ""Sbalay"" between the government and the indigenous peoples. I have spoken of past mistakes and truths the best I can, with nothing held back. In a moment, our indigenous friends will speak. I do not dare ask you to forgive, here and now. But I sincerely ask you to sustain the hope that past wrongs will not be repeated, and that one day, this country can see true reconciliation.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"sawni' qani hya' ga t'aring nanak qani hya' na, mosa' thozyay mtbalay hya' ga ini' kaki' sqo inlongan na Genzyominzok, skita' sqo pintzyoaw na Sexo'. baqon mako' maha nqwaq nanak ga ini' qtnaq, mosa' mtbalay balay qani hya' ga, mosa' skita' sqo kwara' pintzyoaw sa Genzyominzok na Koka' qani qo spzyang balay pspngan.","Today is only a beginning. The duty for reconciliation lies not with the indigenous peoples and the Pingpu ethnic group, but with the government. I know that words of apology alone are not enough. What we actually do for the indigenous peoples will decide whether reconciliation succeeds or stumbles.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"anay simo kmayal sqani, mosa' ps'rxon na Sotoxo' qo sawn maha "" Genzyominzok Rekisi' segi'"" sqo "" Cwansing cng'i' Weyoenxwe'"". mosa' mako' skahol sa lalo' na Mrhow Koka', mgppaylahoy na sqoliq, ro kwara' Rayxyo na qotox qotox zok msqon mosa' hmkangi' sqo Segi' na Rikisi', ro mosa' myan ptnaqon mkayal sa pptzyoaw sa awsa' na Koka' babaw niya' ozi.","Therefore, I am here to announce that we are setting up an Indigenous Historical Justice and Transitional Justice Commission under the Presidential Office. As the head of state, I will serve as convener and work hand in hand with tribal representatives to pursue historical justice. We will also discuss, on the basis of equality, the future policy direction of this country.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"mosa' mako' grhgon balay hya' ga, mosa' krhon balay mita' na i'ingkay na Sotoxo' hya' ga, yaqo pinssongos psblayqan na Genzyominzok sqo Sexo' qani. nano' mosa' yaqo pinglgan inlongan kwara' nqo pins'rox Rayxyo na qotox qotox zok, kwara' kin na glow na Pinpo co' ozi qo ggalan poqing pptzyoaw na Sexo'. Gaga' na ptzyowaw qani ga, mosa' yasa qo pinsqtoxan inlongan kwara' na Genzyominzok, mosa' thozyay payhtow sqo hngzyang inlongan na kwara' Genzyomin.","I want to stress that this commission places the greatest importance on equality between the country and the indigenous peoples. The election of tribal representatives, including for the Pingpu ethnic group, will take as basis the consensus of peoples and tribes. This commission will serve as a mechanism for collective decision-making by indigenous peoples, and will ensure that the voices of tribe members find true expression.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"qotox ozi ga, mosa' mako' kyalon ozi qo Gyose'ing maha si' qotox sa ryax na pkaygi' nqo zyowaw na ""lahoy na prorow sqo Yoencominco' cipnxwa' "". nano' qo wal mthozyay pinsqtoxan pinkyalan na I'ingkay ka ppcyowagon naha' qani ga, mosa' yasa qo mosa' minblayqon mpkayal sa qotox qotox ini' ptnaq aylhoyan na Gyose'ing qo mosa' ptzyoawgon na Sexo' babaw niya'. kwara' qo zyowaw qani ga, kwara' kin na hhkangi' sa wayal naha' sginpong na Rikisi', awsa' rmorow sa kklagang qalang na Genzyominzok nanak, mosa' mintnaq psglabang sa kezay na qnxan naha', mosa' kyo'ik sqo 'olah kinbahan sa Gaga' naha', kklahang sa kklawkah hi' naha', ro yaqo awsa' mlahang sa kinri' nqo sqoliq cyox maki' tay hogal.","In addition, I will request that our Executive Yuan convene regularly the Indigenous Peoples Basic Law Promotion Committee, and use the Yuan's authority to coordinate and handle matters related to any consensus reached by the above-mentioned commission. These matters include the following: to retrieve historical memories, to promote indigenous self-government, to seek fair economic development, to ensure continuation of culture and education, to safeguard indigenous health, and to protect the rights of urban indigenous peoples, etc.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"nano' qo gaga' na Genzyominzok ka ini' balay pqbbaq sa qnxan misow qani kroma' ga, mosa' myan psr'xon qotox sa mosa' baq balay sa Gaga' qnxan Genzyomin ka sawn maha "" Genzyominzok Horit xokomo' cyosing"", spwah sqo Gaga' ka minblayqan smpong ps'rox, mosa' pingaygyot pshawhway smbalay sqo aki' msoling pingrgol na Gaga' qnxan mamo sqo Horit qani.","Where modern laws and indigenous traditional cultures are at odds, we will set up an Indigenous Legal Service Center with a high degree of cultural sensitivity, to reduce through institutional design the growing clashes between indigenous customs and modern laws.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"mosa' myan kyalon kwara' qo pptzyowaw maha ihi' kbalay qo zyowaw na wayal kyapon ro wayal skokso na Horit ka smnbo' sqo iyat sinpong sa kklhangan Sexo' ka qqsinow sqo qzyonam naha' nanak ka Genzyominzok qani, yalaw gi bali naha' sptbazi qo bno' naha' qasa! nano' qo yan nqani ka sisay maha pin'anak na zyowaw ga, hknyanay ta' sqo mosa' baqon gmobah kbalay.","I will ask the relevant agencies to immediately pull together cases in which indigenous community members have been indicted or sentenced for hunting, where the hunting was done in accordance with traditional customs, on traditional lands, and for non-transactional needs, and where the animals hunted were not protected by conservation laws. For such cases we will deliberate solutions.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"mosa' myan kyalon kwara' qo pptzyowaw maha, kwara' pintzyowaw balay nqo cyox syon sa rhzyal na Ta'o' zok ka inlaxan na ""Hoco hweryaw"" qani ga, ani minblaq kmayal kwara ssawn mako'.ini' ptmasoq balay kbalay sa zyowaw na Hoco' hweryaw qani na' ga, aki' biqan cikay nangi' mosa' smawm cikay sa kinmxyalan mamo.","I will also direct relevant agencies to present an investigative report on the decision-making process of nuclear waste storage on Orchid Island. Before finding a permanent solution for the nuclear waste, we will provide the Yami tribe appropriate compensation.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"aw' row, maki' sqo snyan inlongan na aki' nyox ps'rox sqo lalo' naha' sraral, ro mosa' ta' Syoning sqo lalo' naha' balay qani ka Pinpoco' qani ga, mosa' myan minblayqon minbzinah lmnglong mocing sa zik na tmsoqan byacing na tay mqiro' byacing qani, aki' thozyay maki' ozi qo Knri' naha' ro lalo' naha'.","At the same time, under the principle of respecting the Pingpu ethnic group's self- identity, and recognizing their identity, we will examine relevant laws before September 30 of this year, so that Pingpu ethnic group identity will receive the rights and status it deserves.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"'ringan byacing tay mawpow qotox lga, mosa' myan 'ringon kikak kbalay, ro mosa' myan skayal kya qo rhzyal qzyonam kwara' na Genzyominzok. Gaga' nqo Borak kohoning hya' lga, nyow myan rima' ptzyowagon la, babaw niya' lga, mosa' myan pngaygyoton mtzyowaw balay qo spzyang inllongan balay na Gaga' na kklahang qalang nanak na Genzyominzok. mosa' myan pkhaylagon ozi qo pptzyowaw myan, mosa' smato' sa Ripo_ing qo zyoaw spzyang mamo krhon mita' zyoaw ka ""Genzyominzok sizit ho"",""Genzyominzok toci ro kayyokoho"",""Genzyominzok gengo hattengho""mosa' sinsa kya Ripo_ing.","On November 1 of this year, we will begin to delineate and announce indigenous traditional territories and lands. The system of tribal public corporation is already in place. In the future, the ideals of indigenous self-government will be realized step by step. We will step up the pace and submit for legislative deliberation three laws of great importance to indigenous peoples: the Indigenous Peoples Self-Government Law, the Indigenous Peoples Land and Sea Areas Law, and the Indigenous Languages Development Law.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"babaw kinryax kira' lga, mosa' sami maylahoy na sengkok Genzyominzok gyose kaygi'. mosa' pzyox balay qo mosa' minblaq kmayal na Sexo' sqo Cngco' qani. babaw niya maki' sqo 'ringan ryax na taymspat byacing ga, mosa' simo shokok na Gyose'ing zyowaw pincyoagan myan sqo zyowaw na ""Genzyominzok rikisi' segi'"" ro rinrogan pincyoagan myan sqo ""Cwanzing cng'i'"" qani. aki' sptzyowaw balay qo ""Genzyominzok rikisi' segi'"" ro psr'ox sqo poqing balay Gaga' na kklahang qalang na Genzyominzok, cyogal qani rrorow sqo zyowaw na pptzyoaw sa Genzyominzok.","Later this afternoon, we will convene a national indigenous peoples administrative meeting. In that meeting, the government will elaborate on the policies. On every August 1 to come, the Executive Yuan will report to the indigenous peoples our progress on restoring historical justice and transitional justice. To implement the Indigenous Peoples Basic Law, to serve indigenous historical justice, and to lay the foundation for indigenous self- government – these are the three major goals for the government's policy towards indigenous peoples.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"plwanay simo kwara' ka nyox maki' sqani, ro kwara' ka Genzyominzok nyow zmangay sa Tiribi', ani sako' gmrhow hosyo sqani. pinlawa' mako' simo mwah mlahang mita' qani ga, bali yaqo mosa' niwan mwah simo rmaw mpanga' sikining. wahiy sako' smgsow ro psbaqiy sako', aki' thyayon mtzyowaw balay na Sexo' qo sinnawnan myan qani, ro aki' sami ini' kzyan sa wayal ka min'oqo' lawziy.","To all of our indigenous friends here and watching on TV and online: I invite you to stand witness. I invite you not to endorse, but to oversee. Please keep pressure on the government and right its course where necessary, so that it will realize its commitments and right historical wrongs.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"mhway simo balay kwara' Genzyominzok, simo qo psbaq sami ka sqoliq na pptzyowaw sa zyowaw na Koka' qani, rhzyal ka nyox ta' qplan qani, ro Gaga' qnxan sraral qani ga ongat mosa' thozyay smzyonaw kinkraho' balay na Khaci' niya', kwara' qo kinkrhwan Khaci' niya' qani ga, aki' ta' syan sa kraho' balay na ttrhwan lalo' niya'.",I want to thank all of our indigenous friends. You remind everyone in this country that there is irreplaceable value in the land we tread on and the traditions we inherit. This value deserves dignity.,FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"babaw niya', mosa' myan skahol sa rinrogan pincyowagan myan, aki' ini' pskawngat kwara' kay' nha ro Gaga nha nyox maki' sa rhzyal Taywan qani, ro tayta ini ptzyowazyowaw sa rhyal nha nanak kwara' kinbahan nyox maki sa Taywan qani ana mocing kknwan.","In the future, we will push for policies to ensure that succeeding generations of indigenous tribes and all ethnic peoples in Taiwan never lose their languages and memories, that they are never separated from their cultural traditions, and that never again are they lost in a land of their own.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"anay mako' mlawa' kwara' Syakay ta maha msqona ta' kinlawkah mosa' mqbaq sa Rikisi' ta', aki' ta' mqbaq ozi sa Gaga' na kwara' ka ini' ptnaq glglow nyox maki' sa rhzyal ta' qani. pawsaw ta sa mosa' ptbalay ro pawsaw ta' sa mosa mgblaq qnxan ta' kwara', gyahay ta sqo giqas ro blaq balay na Taywan babaw niya'.","I call upon our entire society to come together and get to know our history, get to know our land, and get to know the cultures of our many ethnic peoples. Let us work towards reconciliation, a shared existence and shared prosperity, and a new future for Taiwan.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"anay mako' splawa' kwara' sqoliq Koka' ta' maha, anay ta skahol sa ryax sawni' qani, pglganay ta' kinllawkah kbalay qotox sa spzyang balay Segi' na qalang, qotox sa spzyang balay ""twoyo_en Pingtng"" na qalang.","I call upon all citizens to seize the opportunities offered by this day – to join together, work hard, and build a country of justice, a country of true diversity and equality.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
mhway simo kwara.,Thank you all,FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"piyox ko ini ptna mlahang glow gaga lga, thoyay mosa pkayan kwara glow gaga ro mwah ms'on pcrox otox alang. mrhow p'aras otox glow gaga ga mrhow gaga "" san naha","ini ga ""pklahang gaga"" san naha.""",FormosanBank/Corpora/ePark/XML/ep2_文化篇/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol
