ami,english,source,kindOf,dialect
ma'ngiw ko ngiha',high pitch of the voice,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
caay ka 'noc,can't be swallowed,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'noc,can be swallowed,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mi'ocil ko faloco' ako.,In my heart I identify with your going.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pa'oliday a fo'is,a shooting star from a comet,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pa'oripen nira kako.,1. He saved me. physically as from drowning. 2.spiritually,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O ma'araway i lo'orip a tinako konini.,This illustration is seen in ordinary life.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ma'orong nira ko retengay a 'inorong.,He carried a heavy load.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
mi'osi to tilid,read,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sa'osi,true,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O 'osi a tamdaw cingra.,He is true.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ka'osian ko demak nira.,What he does is despicable.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sa'pi'pi ko riko' nira.,Her skirt is pleated.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ma'samen to kako.,I am upset.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Awaay ko paka'esesay a somowal ngraan.,No one is able to speak pointedly to him.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sa'tip,to the west,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pasa'tip a romakat,walk to the west,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
isa'tipay a tamdaw,people that live in the valley,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pasa'tip a tamdaw,people that live on the west coast,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pa'xiw,to burn incense as in worship,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Caay ko ma'yof koya tamdaw.,That person will not change.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cecay aca ko wawa nira.,He has only one child.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Paaceken nira ko tireng nira.,He defiled himself.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Paaceken nira ko was.,He blasphemed against God.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
maadah to ko adada,the sickness is healed,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
maadah ko keter no faloco',the anger of heart is healed.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Awaay ko adeses.,There was complete silence.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ahowiday,to be satisfied,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Talaaikor cingra.,He moved to the rear.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O i aikoray cangra a maro'.,They sat in the back.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Halo akoen a pafeli,Please include me when you give,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Misaakoakoay cingra.,He is insisting on having his own way.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maala no tao ko codad ako.,My book was taken by others.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Alaen no tao ko codad ako.,Others took my book.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Alacecay kita to sowal.,Each of us is to say sentence.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Alacecayen ko pipafeli.,Give each one thing.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Alasadasadak cangra a militemoh tamiyanan.,They all came out to meet us.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Halo amo a mafana' tonini a demak.,Even you know about this matter.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
awaay ko angil,to be very tired,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ano hakowa ira kiso?,When will you come?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
misaapa to fafahiyan,commit sexual sin towards a woman,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maapacay ko 'orip no ngcah.,Tribal people have a primitive life style.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
maapiyan,to need opium for a stimulant,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Icowa ko kamaro'an iso?,Where are you sitting?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aro'en ko loma' nira.,Go to his home and get a recompense by expecting the family to give you a feast.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ro' cingra a caciyaw.,He sat down and talked.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Asimaanay saan cangra to dafong ako.,They showed no respect to my property.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Fangcalay ko riko' nira. Asimaan kono mako.,His clothes are nice; mine are very ordinary.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ira cingra a tayni haw? Awaayho.,Has he come yet? No.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ciwawa cingra haw? Awa.,Does she have children? No.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ano saawaay 'i,The least number to be involved would be...,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Palaawaen ko epoc no pasowal nira.,Make what he says nonsense.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mafana' cingra a mica'emot to sowal.,He is an attentive listener.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pakaca'enot cingra.,He is able to remember the first time he is told.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ca'ienho kako,Let me go first.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mica'it cingra.,He hung his satchel in the home.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ca^des ko sowal,words are stern or sting,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
o saca^desay a demak no lisin,the strictest activities of the religion,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Caay ka fana' kako.,I don't know.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Misacaciyaw cingra.,He talked a lot.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pacacodo to pawli,to give a child a banana for a snack,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macahiwen kako.,I feel hungry.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pacahiwen nira kamo.,He made you go hungry.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macahkit koya wawa.,The child is disturbed.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Micahkit koya wawa.,The child is disturbing others.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cahocaho miliyas cangra to limo'ot ako.,Almost immediately they left my commands.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pacakaten ko tireng iso faloco' iso i was.,Offer yourself and your heart to God.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O maan ko sapacakat noya misalisinay?,What does that person who is practicing a rite have for an offering?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O papacakaten koya matayalay.,That worker is to get a higher position.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
cakeli ko rakat niyam.,Our path was very steep.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O maan ko nicalayan iso?,What did you rope? A cow?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macaling no tao ko omah ako.,My field has been encroached upon by outsiders.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O canglahanto anini.,It is spring tine now.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mafoti' Yis i cani'iw no tamina.,Jesus slept in the hold of the ship.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mimaan kiso a maro' i cani'iw no loma'?,Why are you sitting in such an out-of-the-way place?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pacarcar a maro',1. sit down for a few minutes 2. stay in someone's home,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macacawas ko ramod nangra.,They are divorced.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
macacawi a romadiw,to sing in rounds,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
macacawi a somowal,to have a discussion,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pacawien ko sowal nira,Answer him.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pakacecay to kako.,I am isolated from the rest.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cicedi ko sowal nira.,He is a forceful speaker.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Palatoloen nira a pasacefang ko sofitay.,He made the soldiers into three groups.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macefo ko wawa ako.,My child bed-wets.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pacefongen ko wawa i pitilidan.,Enter the child into school.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macekcek ko pipaloma to anip.,The rice plants are put too close together.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Sacekecekem ko adada ako.,I have a sharp pain.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mapacekil no Fangcalay 'Adingo kako.,I am inspired by the Holy Spirit.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macekil ko cikawasay.,The medium is aroused by possession by a spirit.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macekil ko wawa.,The child is suddenly awakened and so cries.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Micelem ko cidal.,The sun is setting.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
micelem i nanom,to dive into the water,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
piceleman to no cidal,at sunset,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Tahacelem ko tayal ako.,My work continues to the end of the day.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pacemet cingra a mafoti'.,He took a nap.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
macengaw ko faloco',awareness,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
micepo',to remove the bark,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O cepo' no kengkeng konini.,This is the end of the ditch.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mici'iwi ko harateng nira.,He thinks differently from the rest.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macicih namo ko tatelekan ita.,You broke our covenant.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sacikacikay,to run this and that direction,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ciko no lalan,intersection in the street,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
cila sato,next day,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pacinaw to kolong,to put a basket on the mouth of a water buffalo,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sacingacinga,to look back and forth at each other,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mocirid ko faloco' nira.,He thinks differently from the rest.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Miciro' ko to'em.,The cloud extends upward like a pillar.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
paciro' to kamay,to raise a hand,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maco'a'ang no fali ko hikoki niyam.,Our plane was facing into a head wind.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
kasaco'ed no lotok,the various recesses of the mountain,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Co'isen konini,Turn this upside down.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macocok Ko faloco' ako.,I am convicted.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pacocoken ko 'onoc i kadang.,Put the pole in the ring.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pacofelis to tikami,return a letter,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
paconged nira ko lalan.,He has blocked the road.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
paconoh to raraw,not take responsibility for wrong doing,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka paconoh to tayal iso i takowanan.,Don't give me your work.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
macopelakay ko sowal,figuratively: speech is unacceptable,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pacoracoren no mikowanay kami a palasofitay.,The rulers forced us to join the army.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Micorafay ko fali.,The wind is burning hot.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Micorah i namal a nga' to cokor.,Canes are shaped in fire.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Macorah ko loma'.,Fire spread to the house burning it up.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
micorok to kahacecacecay a loma',to go to each home,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Micowat ko dateng.,The vegetables spread out as they grew.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
mida'ocay a 'orip,eternal life.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Tahada'ocen ko demak.,Continue forever doing the activity.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ano dadaya,tonight,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
idadaya,last night,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Madado' no singsi ko faloco' ako.,The pastor broke down my defenses of heart.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Madadotos ko tayal nangra.,They take responsibility in succession,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O dadotosen iso kako.,You are to succeed me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ano dafak,tomorrow,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
idafak,this morning,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Padamaen kako.,Help me out by supporting.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
damay no riyar,seaweed,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sadfadefak ko pipaloma'an niyam.,The place we want to build our house is not level ground.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Katalawan ko demak nira.,His affair is something to be afraid of.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka dademaken koya tilid.,Don't move the papers.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Kilimen ko dihapalay a fokeloh to malo 'anengang.,Look for a flat rock to sit on.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Dihko ko faloco' ako.,I am encouraged in heart after having been afraid or upset.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
nay kita to ko dadipotay.,Let's get married.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maditdit ako ko piala.,I gradually took.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ditditen a pafeli.,Gradually give him.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Tolo a ditek ko omah niyam.,Our field is three tenths of a hectare.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Tahado'es no 'okak ko adada ako.,The pain I have goes into the core of my bones.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
