szy,chinese,source,kindOf,dialect,row_type,split
bao,蛇,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bayo,海,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
beded,蜻蜓,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
belac,米,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
besoc,直,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bihid,臉,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bilbil,嘴唇,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bili,肚子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bitoka,胃,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bocol,箭,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bohang,洞穴,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bokes,頭髮,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bolad,月亮,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bonac,星星,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
boting,魚,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
caang,樹枝,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
caay,不;不是,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cabay,朋友,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cacay,一,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
calamay,霧,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
calaped,褲子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
calkaka,兄弟姐妹;堂、表兄弟姐妹,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
canan,什麼,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
capi,近,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cihek,鼻子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cikah,鹽,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cilal,太陽,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cilekay,蟲,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cilemin,酸,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
coco,乳房,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
coedet,冷,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cokap,鞋子;拖鞋,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cowa,哪裡,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dacdac,蟬,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adipis,蟑螂,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dadisapan,海邊,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dadiw,歌;歌曲,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
damay,髮菜,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
daong,樹豆,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
deko,貓頭鷹,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
demi'ad,白天,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dieto,神;鬼;鬼魂,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dingki,照明,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
doka,傷口,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
doot,黑暗,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
elon,椅子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
enem,六,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
epah,酒,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
esos,屁,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
habay,小米,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
haymaw,慢慢,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hang,可以;是的,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
haymawen,再見,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hekal,外面;外頭,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hemay,飯,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
holam,漢人,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
holic,法律,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
icelang,力量,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
idoc,矛,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
imelang,生病,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ina,母親;岳母,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
inayay,沒有;不在,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ising,醫生,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
izang,血;血液,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
izaw,有;在,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kabi,湯,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kabos,蝦,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kai,不要,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaka,哥哥;堂表兄弟,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakabian,床舖,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakana,姊姊;堂表姐妹,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakawit,鐮刀,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakeleng,雷,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalamkam,快速,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalang,螃蟹,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalapiyat,閃電,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalisiw,錢,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalitobah,葛鬱金,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kamo,語言,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kanas,籃子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kanasaw,海膽,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kasienawan,冬天,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katalalan,牛,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katokoh,抵達;到達,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katood,多,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaozip,日子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kawanan,右邊,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kawili,左邊,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kawpil,地瓜葉,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaysing,飯碗,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kazizeng,車子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kedokedo,山蘇,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
keliw,線;苧麻線,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kikol,尾巴,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kilakilangan,森林,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kilang,樹木,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kitiw,細,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kiwmah,山豬,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kizemo,胖,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kobetol,厚,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kobkob,玉米,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kokay,謝謝,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kolang,芥菜,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kolawit,鉤子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
koleto,山藥,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kolit,顏色,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kolol,背部,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kongko,故事,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kopit,瘦,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kotem,陰天;雲,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kyo,所以,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
labi,夜;夜晚,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
laic,繩索,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lalaba,追,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lalacan,海螺,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lalangaw,蒼蠅,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lalangawan,文化,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lalod,夏天,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
laloma'an,家族;親戚,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lamal,火,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lamit,根,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lapit,飛鼠,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lasobo,百,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
laway,嘴巴,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
layak,平地人,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
liel,脖子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
likec,規範;規矩,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
liken,沙子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
likes,蚊子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lilis,旁邊,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lima,手;五,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
limolak,慶祝;高興,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lisin,習俗,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lomeniay,黑色,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lotok,草,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
maacak,熟,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabecol,飽,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabelih,倒;翻倒,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabolah,想念,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabonal,熟,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabosok,酒醉,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
macalenget,癢;搔癢,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
maedeb,關上,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mahica,如何,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
maizang,流血,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
makasic,懶惰,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malaheci,完成,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malalemed,濕的,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malikeloh,遇到,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malecad,一樣;相同,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malingato,開始,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malinges,生氣;氣憤,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
maloman,舊的,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
manamoh,高興;快樂;喜歡,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mangaay,煮熟;熟,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mangalay,餓,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mangaloh,渴,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mangiwit,歪;斜,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
manta'ay,生的;未熟的,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mapalaw,跳舞,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mapawan,忘記,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
