tay,english,source,kindOf,dialect,row_type,split
halos,saliva,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tari,knee,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ilis,wound,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lhbon,stomach,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sigit,liver,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
asi,phlegm,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
'no,grease,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yohong,gallbladder,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
takan,throat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hma'oy,tongue,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hwinok,waist,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tloling,finger,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
rnang,sweat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
olo,neck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
biyox,buttocks,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
gryong,neck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kiki,armpit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yoron,kidney,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
prahong,lip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
komis,fur,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ngongo,tail,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
biyak,pig,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hoyin,dog,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mit,sheep,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ngyaw,cat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
piyit,bird,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
'cyox,fish,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
welong,chicken,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yongay,monkey,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kacing,cattle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
takay,frog,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pok,owl,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
krakos,turtle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'o,snake,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
klit,leopard,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ngarox,bear,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hepox,cockroach,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
klesay,dragonfly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kpiray,butterfly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
koyay,spider,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bhot,squirrel,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mok,vole,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
potot,mosquitoe,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ngrox,fly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hying,honeybee,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
thok,male,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cgoro,duck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bicyo,earthworm,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
banga,wasp,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kbolong,shrimp,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
zo,elephant,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
'ma,horse,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
snayox,female,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
malang,crab,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kryay,cicada,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
aleh,wing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kyabin,bat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mosi,snail,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
takeri,sparrow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kwalit,eagle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ktahi,ant,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
gacyo,goose,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
liso,nest,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tryong,hornet,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mngin,flea,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kbibing,cobra,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ta'oy,crow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ihoy,horn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmotong,grasshopper,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
g'eloh,banana,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pagay,paddy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
khoni,tree,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cehoy,taro,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
abaw,leaf,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
'cyong,tangerine,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
phpah,flower,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kabang,pumpkin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
k'man,weed,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
t'eton,corn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bway,fruit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pngray,pineapple,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
k'man,grass,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
wahi,rattan,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
