tsu,chinese,source,kindOf,dialect,row_type,split
taonona'vʉ,驚奇、訝異,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
moengʉ,好聽,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
aʉsvʉsvʉtʉ,學習,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
aoesiesi,古老,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
cmʉfeʉ,萌生,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tipeoha,遺失,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
foengo,山林,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
patongkoonʉ,玉山,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
seongʉ,松樹,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
matʉtʉ'nʉ,各個峭壁、懸崖,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
cofkoya,潔淨、乾淨、清澈,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yongho,美好、美麗,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
heʉheʉm'ʉ,各種農作物,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
so'ʉmnʉa,最喜歡的,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maceoceonʉ,每一個路,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sosonʉ,非常方便、非常快,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yopa'o'oso,相互來往,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
vasavi,山葵,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hophinasi,它的價位、賣到的錢,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yʉ'ʉ'ʉmni,長的好,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
emisisi,它的根,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
noapeisoi,跟工拿錢,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sangeava,苦茶樹,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
aepepe,高海拔,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
beobeahci,很多果實,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yopasʉ,財富、錢,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kakaapana,竹園,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ta'to'tohʉngva,思想,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
koayoobobai,引起糾紛,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
peisia,禁忌、忌諱,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'aptaptaʉngʉ,吵鬧,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ma'cacei,卜夢,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
meahopa,未遵守獵場規範所患疾病,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kaahkʉmnʉ,高大粗壯,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
bohsifoo,登上,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'akoini,螢火蟲,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maemoemoo,家庭,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yo'ekokayo,長老互訪,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
seoteoyona,連繫,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nsoo,生命,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
toʉsvʉsvʉtʉ,商討、討論,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
h'oh'a'aveoa,製作成飯,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
okosi,小,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
songo,角、大飯瓢,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
meemi,製酒,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tongva,泡水後搗成顆粒的糯米、小米;搗米粉,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
f'oeevi,樹薯,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yo'eayʉʉlʉlʉ,都長的特好,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hici,皮,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tvopozoa,火炬袋,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sifʉhngoya,穿紅衣,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hoesopnana,插裝飾品,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
teovsʉ,皮帽羽毛飾,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eh'oneni,讓其隔開,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
teoezohi,做改變,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
noae'oca,依靠、神,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'o'otohva,飲食器具,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hoecvʉha,重視,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mahsʉsʉftʉ,教育,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
soskono,聽話,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fiho,跟隨,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
e'ohʉ,出門,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'to'tohʉngʉ,想法,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eyasasmoyʉska,成年禮,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eino,尊敬,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yopasoski,輪流,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yosono,打陀螺,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tmaiena'o,轉的久,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hiapeispak'ia,如何去玩、玩法,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hnoo,房子、住屋,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
phingi,門,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
seipi,烤肉架,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hopo,床,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ketbʉ,聖粟倉,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'oahngʉ,親人,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'oanʉ,食物,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tmʉ'pʉ'pʉyʉ,凝聚,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
navconga,夫妻,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ngangho'ʉ,懷有身孕,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yopamooski,交換,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
paepovcongʉ,婚姻,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eyabobonʉ,進食、宴席,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fifiho,婚役,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
loaveica,忍耐度,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
h'oyongsova,賴以生存的、維繫命脈的,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yo'ticngicngiha,承接、代代傳承,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
taotofsi'i,有光煇的、榮耀的、鮮亮潔白的,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
aʉt'ʉca,照顧、養育,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
amoconi,舅舅、叔叔、伯父、姨父、姑丈,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
inoconi,舅媽、嬸嬸、伯母、阿姨、姑姑,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tos'ongki,取名、命名,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
haah'o,年輕人、青年階級,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ehohamva,神話、傳說,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ezoezoyʉ,耕作地、農地,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eyafoo,打獵,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hopa,獵場、獵區,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
po'ovnʉ,豬舍、豬圈,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
peipeisia,遵守禁忌規範,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tmosangsango,鳥鳴吉利,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
engaho,鳥聲不吉利,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ozomʉ,部落勇士出征、出草,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yoopsoso,鑽木取火,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yoozomʉ,鄒族的征帥,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maotano,鄒族勇士、出征勇士,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
conoemoo,一家人、家族,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
congso,家屋正門,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
niacmo'na,家屋後門,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tongkoyo,家屋側門,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
popozo,火塘,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tvofsoya,家屋內擺放獵具及神座的地方,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hʉfʉ,獸骨屋,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
koba,男子會所,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
teova,工寮、獵寮,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'oe,黃藤,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
psoseongana,阿里山的山林地區,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kavo'oe,陶器、陶壺,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hosa,部落、大社,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
laoya,楓樹、楓香,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tfoya,特富野社,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tapangʉ,達邦社,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yimoco,鄒族大社-伊姆茲社,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
lohto,鄒族大社-魯夫都社,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pooto,漢人,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yatatiskova,人類,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
piepiya,靈魂,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hico,神、鬼、神靈,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yaoesiesi,宗教祭祀,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
noachipa,神靈之通稱,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yoahcoya,神靈之通稱,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
topeohʉ,奠酒祭神、祭祀、詛咒,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hamo,鄒族天神,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nivno,造人之女神,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
konansoo,生命、靈命,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yoifo,巫師,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
meipo,巫師施法,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
koisi,有體內之靈界邪物,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ahtao'te,一定會,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tonsoha,一年,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
homeyaya,小米豐收祭,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mayasvi,戰祭,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yo'sosoyomo,打戰,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yofngoo,取敵首,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
meemesi,各樣儀式,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
teongasneni,被減少,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
i'afafeoi,戰神名,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fihto,跟隨、隨著,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
momaemaezo,跟著學習,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eʉsvʉsvʉtʉ,訴說,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
feangoto,我們的身體,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
apeoha,掉落、戰死、死胎,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
papae'ohsa,街頭巷間,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yʉntʉhi,斷氣,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
meahico,驅趕鬼神,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
efo'a,埋葬,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mʉvcʉnga,服喪期,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
koe'ia,尊敬,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mah'sʉsʉftʉ,教訓、教育、訓勉,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
popeoyafa,趕出去、驅離,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mevcongʉ,結婚,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tosi'ngi,掃地,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
toekameosʉ,逃走,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
taeyongayʉ,火神名字,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
aopopoha'o,慢慢的,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
meeyav'ov'o,生出千百種;嫁娶各樣的人,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
patkaya,初登庫巴禮,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eyasasmoyʉskʉ,成年禮,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mameoi,老人、長輩、有年歲,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ho'ecvʉha,特別重、負重、視為重要,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
peongsi,汪姓、樹根頭、帶領者,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sia,收起來;誰,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
te'teoyono,聚集,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
panathao,刑司,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
koisi,罪孽、不乾淨的東西,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
