dru,english,source,kindOf,dialect,row_type,split
mapito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mavalro,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mavangate,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamangele,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamapo'ale,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamatolrolo,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mama'epatele,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamalrimale,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamanemele,sixty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamapitolo,seventy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamavalrolo,eighty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mamavangate,ninety,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
idhai,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
dhoma,some,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'oale,once,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ma'apicongo,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mokalidho'a,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
poelre,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'oovecahe,half,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
imiya'e,you,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ilrae,I,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ine,he,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
iname,us,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
analo,they,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
nome,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
nai,our,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lini,their,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'o,your,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
li,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ni,his,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
nai,we,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
imite,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ta,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ana,that,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'inaai,here,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
aanai,there,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
kaanaeni,what,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
amokoani,how,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
aangai,who,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
aikiedha,where,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
apokoa,what,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
omaedha,where,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
kani,why,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
palrapalra,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lamengae,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
sakadha'ane,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
sihihili,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ahane,grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
kiili,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
madha'ananae,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
pa'atakataka,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
taka,brother,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
amake,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
inake,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
alrace,name,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'aolai,boy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'avai,girl,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ivoko,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lroolai,child,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'avai,female,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'aolai,male,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ocao,people,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
taposavo'ovo'oe,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
sinsi,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
valra,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
caha'e,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'aomo,police,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
senho,father,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
siyoni,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ciokoko,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
valrovalro,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
vanidho,student,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
calringa,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
dhalroae,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lringao,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
maca,face,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ngodhoi,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
cokonoho,head,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
loka,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
alrima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
votolro'o,body,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ngongo'o,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
okoko,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ali'i,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
iyo'o,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ehai,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lroho,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
taponoe,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
vahange,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
soso,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tavosovosae,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
aliyadhangae,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
vasingi,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
dhelrehe,back,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
picingi,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
pahacongae,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tetene,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
poko,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ngalrai,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
sahao,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
takaconga'ae,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
vicoka,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
asai,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
so'olo,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
dha'olro,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'ima'a,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
vihoa,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
paho,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tomo,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
colo'olrae,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lridhame,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ici,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
hamoco,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lromecehae,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lre'e,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tahelrehelrehelrae,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
apedhe,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
taekehae,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
pedhe'e,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
motomoto,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ovale,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'iko,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ove'eke,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ta'olro,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
kii'i,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ngiyao,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
aalrame,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ka'ange,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tahokoko,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
mavohoko,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
noange,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
kohapange,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ko'o,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
vavoi,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
toko,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'olra'a,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lrikolao,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
comai,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
atavange,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
salipoopolra'a,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tavongovongo,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
takelesai,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
voto,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
a'ata'atange,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
alalikisi,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
alrehele,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tapekece,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
vala'e,male,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
konga'a,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
atolriki,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
silalrao,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
senge,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
zoo,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lrihi,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tahatina,female,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
apa'e,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
lalalri,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ciyahe,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tavalroolra'o,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
hooholrongo,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
koholongo,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
taliviivalriyo,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
avongo'o,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
konga'a,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
co'i,waterbird,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
taa'iloko,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
katidholoe,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
simakolo,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
takadhapi,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tanganga,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
kokolo,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
laongo,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ciivaiya,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
velevele,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
'angato,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
tai,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
li'ange,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
