tao,chinese,source,kindOf,dialect,row_type,split
kapahabhab,哺乳,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangalavat,孕婦,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pananadengan,靠背石,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
piwalaman,休息處,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makakepkep,吸引、凝聚,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pataroken,立起來、插著,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimawakwak,已過世、已死掉,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mahataw,島嶼、浮起來,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mitawaz,網魚、撒網,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimacisakey,曾跟著搭、有跟著搭,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kapisinaoli,折返,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nipatolinan,就歸咎於,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sinokob,宇宙、覆蓋,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pihanhanan,會依賴、會信任、會依靠,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ikaniaey,很害怕、很懼怕,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tawagan,呼叫著、招喚,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
patolinen,歸咎、誣賴,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makaniow,禁忌的、限制的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
katatapilan,世世代代、一層一層,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
dengdengen,煮一煮,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikanokanoka,多處生瘡,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pangapan,拿取,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipakoyab,漸近傍晚,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapaloas,推船出海,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
karilawan,憐憫、疼惜、關懷,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
somibo,預備上山,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipangap,幫人拿取、幫人買,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapivazay,負責的人、主事者,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kanitoan,墓地,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivoovoong,長葉子,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapatawa,使之劃分、隔開,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
masengseng,塞住了、耽誤了,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makarilow,很可憐,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
miliktaw,跨越、經過,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pipazapazangan,互相搶奪,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zongboyan,掩埋,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapakamotdeh,輕視別人、視同小孩,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nivatekan,有雕刻的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapatoyon,邀請、邀請者,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
miangangey,都一樣,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maciadkan,鼻禮,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macipalit,更換、輪流,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maganam,跳舞,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivazongot,戴禮帽,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapazigton,提振士氣,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
giloen,扭著腰,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomotomoto,跳躍、跳來跳去,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimakayapo,從、始於,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apzapzatan,生活用品、東西、財物,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
panalaen,等待、等候,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tangtangen,砸碎,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangapoy,燒烤,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nisaboy,灌頂、灑過,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngaranan,取名字,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
madagdag,清晨,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sapopoen,抱在懷裡、抱著,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanlanlag,祈福、祝福,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
abo,沒有[表擁有的否定],Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ji,沒有[表過去沒有作某事],Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
jia,別;不要[祈使句用],Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nohon,是的,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
beken,不是,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
an,嗎;呢,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
o,主格標記,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
so,受格標記,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
no,屬格標記,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
do,處格標記,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ino,狗,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
koza,貓,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kois,豬,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
baka,牛,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kagling,羊,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sazo,猴,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
karam,鼠,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manok,雞,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
lapik,鳥,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
among,魚,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
hana,花,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tamek,草,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kayo,樹,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
voong,葉子,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
wakay,地瓜,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomozokosi,玉米,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mogis,稻子,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vineveh,香蕉,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vazacinok,橘子,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
onas,甘蔗,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
akokay,好,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ayoy,謝謝,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mai,來,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mai,要來,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimai,來過,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangay,去,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangay,要去,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimangay,去了,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimangay,去過,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
koman,吃,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivangon,起床,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mitkeh,睡覺,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivilang,讀書,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mianoanood,唱歌,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
misega,畫圖,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mialilima,玩耍,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
marios,洗,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
miramon,洗,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipipis,洗,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meyngen,生病,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ingen,痛,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapalolo,攜帶,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macimoy,下雨,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanci,說,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
amizing,聽,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manita,看,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
akmi,看起來,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
itazogaw,拜訪;探望,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ikakza,喜歡,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mateneng,會;能,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apia,可以,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipahahay,遲到,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pisepan,浪費,Formosan-ePark/Final_XML/ep3_句型篇國中/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
