ssf,chinese,source,kindOf,dialect,row_type,split
maharan,廣濶,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
in'ia'ianan,住過的地方,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kanoniza,不過,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashampanaq,戰爭,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhamith,根,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tanamoqtha,前面,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tanarikos,後面,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ifazfaz,中間,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mo'apaw,出來;出現,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
faqlho,新的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pinatash,寫好的;寫過的;字,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
latosha,二個,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
poqthaan,增加,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
masa,和;與,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
az'az,全部都是,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miasoon,聚在一起,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashkat,寬闊,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mafazaq,知道,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
monai,來,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mriway,佔據,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miazithoiza,已經如此了,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kasalpo'on,擔心煩惱,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tanatoqash,老人,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qmaqotilh,追逐,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapozi,白色,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhkaribosh,住在樹林,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
marfarfaz,飛翔,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
manshirshir,旁邊;周邊,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
palhoizaan,種植,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ininthawan,生活,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makakalingkin,很平安,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makoshwit,強壯有力,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tinolhanaz,命名,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
inaiwan,還在這裡,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhongqizi,照顧;治理,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
paqdop,關;堵住,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
nomawan,所以,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makitponish,逐漸漲滿,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miazitho,如此;這樣,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mingqolhmoziza,全部都,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
abohatin,將可以耕作,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmiroa,允許,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shoqolhmozin,總共,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shidoq,氏族;姓氏,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
thaythoy,他們,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ananak,自己的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kafazaqin,知道,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
Waqrath,大溪,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shaonatosi,一直到,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
painan,可能,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
riwayan,被佔領,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moqayza,只是;只有,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
dadoo,頭目;頭人,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
palhkakrikriw,工作,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
akalawan,將做的事情,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makikalhi,問,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miazai,像是;比如,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makitmoqmoq,逐漸隨便,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
motanto,去那裡,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmashiqitan,"使和好,修理",Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mamzai,雖然;儘管,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
amoribosh,將去打獵,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
marotaw,高,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
riqazan,被看,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pohoboqiza,已經萌長出芽點,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
filhaq,葉子,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kondadimrath,閃閃發光,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mangqtoqto,想;想念,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makabokay,開花,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shashanoan,早晨的時候,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kilhnaqoalh,遊玩,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pashatalha,擺攤子賣東西,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
polhalhozo,設魚笱陷阱,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tonmaza,聽,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mawalhnaq,熱鬧嘈雜,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqaran,喜悅;高興,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
asoqomin,將巡視,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pongkizoatan,捕捉奇力魚的簍子,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
amara,將拿取,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shasho,別的;其他的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
motanataon,攜帶回家,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sinapok,捉到的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
karin,挖掘,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
poqaizo'an,醃漬,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pasain,使用,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qtilha,鹽,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
loslos,壓揉,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
poqtilhaan,混加鹽巴,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pinazithoiza,已經如此做了,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ktalha,配菜,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
parhawaywan,仍然年輕,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmakaan,常吃,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
binanao'az,女人,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
inifaz,穿著,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
bzahin,女性外衣,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
patikrin,頭箍飾物,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tatilhbo,帶子,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
dishlom,藍色,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kazingkin,耳環鈎飾,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
boqtor,頸部;脖子,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pashibzahinan,穿全套的女外衣,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
amponoqan,在頭上插飾物,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mingqaraiza,過了很久,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
anonin,任由你想怎樣,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kinai,留在這裡,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miadaaq,很久,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
iananoan,還有,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashbabiar,舂石音,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mimparaw,跳舞,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
isisoa,這時,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashashdoo,同意,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maposhaz,二十,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
los'aniza,過年,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
parhaway,年輕人,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
motosi,去,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moribosh,打獵,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmilhim,尋找,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
apinfotolhin,將做成弓,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmalawa,將製作,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
toqatoqash,老人,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
amakatho,將帶著,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maora,不會;不懂,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
monsosoon,集合聚集,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miarikorikosiza,結尾時;尾聲;最後的時候,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
osoonin,集合,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mindahip,幫助,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
motaon,回家,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhalhaoshin,鞦韆,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
apaqohan,將用來做為下酒的東西,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shiniqalhiwan,被焙乾;,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
apintatan,將被煮,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
minlhafot,兄弟姐妹,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tangqapo,舅舅,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mawala,妻子娘家的兄弟姐妹,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shashoazi,弟弟或妹妹,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malalawa,稱呼,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmolhanaz,叫名字;稱呼名字,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmoqrom,尊重,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhtapako,掛在胸前的小方巾;胸掛,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malhi'ayozi,生男的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mara'iniza,長大成人,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
amin'apiq,將成為媳婦的人,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malhkaktha,商量討論,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
piaroroon,準備,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mangkathi,那一邊;那一方,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pingqilha,釀酒,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pinakoiza,所要求的東西,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qnoan,牛,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
afariw,將買,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madadoo,喜歡,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
amasholshol,將牽著手,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matinhomhom,清晨,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
niwan,尚未;還沒有,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
romfaz,鳥,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moshaiza,走了;出發了,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
podawaz,張網,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sonda,真的;確實,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malhias,亮光,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ma'ania,專精;擅長,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhpazishan,箭,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pashampanaq,戰闘;戰爭,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qamishan,歲,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pariqaz,做給人看;使看;展演者,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
aparoan,將被打,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
nipin,牙齒,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmaroroan,脫除;除掉,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
akindal,將會剋害,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
langqisosayoan,還小的時候,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mino,為何,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
azazakoan,還是小孩的時候,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lamaqitan,漂亮;美麗,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tolshoq,漆樹,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shongkash,害怕,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qirqiran,被咬,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
momamzaw,雖然,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
minathay,已死亡,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
montonoq,倒下,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mobloth,爛掉;毀壞,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maka'apaw,表面的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pingqros,做柱子,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malondoz,直直的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
apalharotaw,將升高,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
apongqthan,將被遷移,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhkananai,住在這裡,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
danshiqan,院子;庭院,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tofoish,甘蔗,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
bangqir,植物的根頭部,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
patilhazan,曬太陽,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
