xnb,chinese,source,kindOf,dialect,row_type,split
aratʉkʉʉn,分開,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aro,八,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aono,蒸氣,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ono,蒸氣,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
avoran,汗水,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cacanʉ,路;道路,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cacaan,路;道路,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cakʉran,河流,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
camai,菜餚,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
campe,剛才,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cangkan,髒,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cani,一,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cani,首次,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cani,歌,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
canomo,水,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
canoom,水,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cara,上,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
carapong,帽子,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
caroro,頂端;尖端,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cao,人,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ca'ánia,白天,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ca'o,無患子,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cenana,年;年齡;歲,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ciciri,旁邊;角落,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cikíringa,邊邊的地方;隱喻廁所,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cimi'i,臉,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cina,母親;媽媽,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ciropo,毛巾;方巾,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cioman,胖;粗,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cioro,針,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
civoka,胃,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
civo'o,竹筍,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cono,姑婆芋,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
coma,父親;爸爸,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comacakʉpʉ,刺,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comácapa,烤,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comacarovo,蓋被子,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comaca'ʉ,削製,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comacono,燒毛,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comacʉ'ʉra,看,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comai,熊,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
conoko,麻糬;年糕,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cúngkoco,橋樑;梯子,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
coro,很;非常;太;真的;的確,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cocoro,很;非常;太;真的;的確,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cosa,二,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
co'oan,骨頭,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cʉnʉ,草,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cʉʉn,草,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cʉngnan,舊的,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
iávato,來,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
icici,尾巴,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
íkamo,你們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kamo,你們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mo,你們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kamoa,你們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
íkaso,你,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kaso,你,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
moso,你,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kasoa,你,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ikim,我們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kim,我們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mia,我們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kimia,我們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
íkita,我們;咱們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kita,我們;咱們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mita,我們;咱們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kitana,我們;咱們,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
iko,我,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ko,我,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kia,我,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mako,我,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ikoa,我,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ímoa,所以;因而;因此;,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
in,他;如果,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
iriri,左邊,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
isa,那,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
isi,這,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ísoa,那,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ivatá,來,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
iváta,來,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ivici,嘴巴,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ivo,尿;小便,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kacaoa,多,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kaisisi,祭祀;慶祝;慶典,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kakámarʉ,鐮刀,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kakangca,天空,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kakico,男用背負網袋,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kamanʉngʉ,製作,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kamanʉʉng,製作,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Kanakanavo,本族的自稱用語,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kanámara,秋天,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kanároa,弟弟;妹妹,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kana'amisan,冬天,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kana'iara,春天,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kaná'oa,哥哥;姊姊,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kana'ʉcana,夏天,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kani,聽說;表達訊息是聽來的或是不確定的,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kara,疑問助詞,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karapa'ici,喝酒,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karara,籃子,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karavong,牛,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kara'ao,喝湯,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kara'o,喝湯,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kari,語言;話語,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Karianasao,播種祭,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karo,樹木;柴薪,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kasa,魚簍,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kasa,斗笠,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kava,皮;皮膚,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kavangvang,全部;都;也,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kangvang,全部;都;也,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'anʉ,不;沒有,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'aan,不;沒有,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'anʉ,不是,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'aan,不是,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'omó'oma,開墾;做田,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kee,他,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kesoni,問;詢問,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kiatútoro,學習,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kincaoa,親戚,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kinvara,兄弟姐妹;堂、表兄弟姐妹,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kinvaia,兄弟姐妹;堂、表兄弟姐妹,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koo,沒;沒有,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koca'ánia,吃午餐,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kocici,吃早餐,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koravi,吃晚餐,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kó'oa,偷竊,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kokoca,背部;背面;後面,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
komakiri,栓住,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
komakiríkiri,抓癢,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
komakoro,挖掘;挖洞,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
komakoici,剝果皮、樹皮,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
komakosúkoso,剃髮,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
komakʉnʉ,吃,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
komakʉʉn,吃,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
konco,毛,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
konga'a,鴨,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
korai,蟲,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koratomoro,滿,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
korisivatʉ,倒臥,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koroma,車子,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koso,梳子,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kʉkʉnangʉ,同伴;夥伴,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kʉkʉnang,同伴;夥伴,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kʉna,食物,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maan,十,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mácaca,笑,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macaraini,可憐;值得憐憫,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macareni,可憐;值得憐憫,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macara,可憐;值得憐憫,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kacaraiin,可憐;值得憐憫,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macakoarʉ,滿,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macangcangarʉ,高興;快樂,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macaro,滑的,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macasʉ,長,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maca'ivi,經過,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maciasʉ,明亮的,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macici,悶熱;不通風,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macici,熱;燙,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mácina,梳洗,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macoro,熟,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maco'o,果實,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maica,經過,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'apaica,經過,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maimʉʉn,五十,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makacang,馬上;立即;就,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makacapʉ́capʉ,拍擊;擊掌,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makacʉkʉna,到達;抵達,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makacʉmʉrʉ,厚,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makanano,如何;怎樣,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makanangoro,游泳,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makangʉcʉ,少,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mákari,說話,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makaríkari,討論,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makasi,說,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makásia,這樣,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makásoa,那樣,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pakasoon,那樣,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
