ami,english,source,kindOf,dialect,row_type,split
kami,us,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
heni,they,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kita,we,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kami,let's,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
iraan,that,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
itini,here,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
itila,there,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
mahaen,this,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
maan,what,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
mamaan,how,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
cima,who,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
icowa,where,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
mamaan,what,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kiya,why,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ama,dad,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ina,mom,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
laloma'an,relative,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ramod,spouse,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ali,sister-in-law,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kadavo,daughter-in-law,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vaki/vayi,grandchild,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vavainay,husband,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
cingkie,in-law,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
malekaka,sibling,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vaki,uncle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vayi,aunt,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ngangan,name,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
cavay,friend,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
wawa,child,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vavahi,female,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vavainay,male,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tamdaw,people,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ising,doctor,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
pasevana'ay,teacher,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ada,enemy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sakakaay,sir,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
lomowa,hooliganism,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kincal,police,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
syawcang,principal,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sengho,father,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
siwni,sister,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
Holam,mainlander,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kaying,miss,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
micodaday,student,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tangila,ear,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
cepi',thigh,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
mata,eye,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
pising,face,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ngoyos,mouth,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tangal,head,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kanos,fingernail,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kamay,hand,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tireng,body,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ngangosoan,nose,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
koko',foot,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
wadis,teeth,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vokes,hair,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
remes,blood,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
titi,meat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
laway,forehead,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tiyad,belly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
coco,breast,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
avala,shoulder,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ngaroy,chin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kolol,back,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vanges,skin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vala',lung,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
valoco',heart,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ciko,elbow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ngangay,saliva,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tosor,knee,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
doka,wound,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vitoka,stomach,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
atay,liver,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
teloho',phlegm,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
viroek,goiter,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
simal,grease,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vadowac,rib,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vesi,gallbladder,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tarodo',thumb,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
takolaw,throat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sema,tongue,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tatelecan,waist,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tarodo',finger,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tanang,sweat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
liel,neck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ngangelngelan,joint,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
menah,buttocks,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ailoc,neck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kakirian,armpit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vowa',kidney,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vilvil,lip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vanoh,fur,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
polot,tail,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vavoy,pig,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
waco,dog,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
siri,sheep,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
nani,cat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ayam,bird,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
voting,fish,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ayam,chicken,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ongay,monkey,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
rarapa,cattle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tatakola',frog,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tool,owl,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
rarokoh,turtle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
oner,snake,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
lokedaw,leopard,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tomay,bear,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
dadipis,cockroach,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
veded,dragonfly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
adipapang,butterfly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
velalotong,spider,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kaporos,squirrel,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kalavaw,vole,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
likes,mosquitoe,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
lalangaw,fly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
odal,honeybee,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sapalamo,male,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tadok,duck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
atikak,earthworm,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kaketi,wasp,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
orang,shrimp,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tasyang,elephant,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sevayo,horse,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
raang,female,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kalang,crab,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
dadacdac,cicada,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sakovad,wing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
pedadoki,bat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kacomoli,snail,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
cilocilok,sparrow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
palang,eagle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
lalonah,ant,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tatarowa,goose,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
dipong,nest,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tatekoh,hornet,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
atimela,flea,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kakohkoh,cobra,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ak'ak,crow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
totoy,puppy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
pohong,horn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ririk,grasshopper,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
pawli,banana,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
savak,paddy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kilang,tree,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tali,taro,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
papah,leaf,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kama,tangerine,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
varo,flower,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tamorak,pumpkin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
talod,weed,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
taviras,corn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
awol,bamboo,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
caang,branch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
heci,fruit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
paringad,pineapple,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
rengos,grass,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
oway,rattan,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ropas,peach,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sonsoli,plum,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
losay,fruit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tatapangan,treetop,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tatangila,agaric,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tomato/kamoraw,tomatoe,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
lamit,root,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vidawol,cucumber,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ningcing,carrot,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
ingcay,cabbage,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
mongi,wheat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
koleto,yam,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
vahedil,cypress,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sapal,seedling,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sapaloma,seed,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
omey,plum,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
mami,grapefruit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tavako,tobacco,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kopa,cotton,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
