xsy,chinese,source,kindOf,dialect,row_type,split
pa'alowa',交代,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
minhaehae:oe',失望、落空,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rareme:an,向天湖,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hahi:il,全部、所有,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
boeloe',丟,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
koSa'en,所謂、稱為,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tatilhaehael,相互幫助,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Saypapa:aS,泰雅族人,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ma'a'e:eS,相互殺戮,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
SaSiyoS,互相和解,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
patil'aet,使了斷,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ramo',血,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
paSte:boe',宰殺,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mantamako',訂婚儀式,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aeh'aehael,親戚,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
papikano',爭執什麼,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
parae'seb,使合飲,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hinra:iy,出嫁,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
timo',鹽巴,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
wawatos,槍枝,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hawka',不見、消失,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaprotonan,堆放處、聚集點,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
haSa',不懂、不會,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kakiw,苧麻,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kamti',薯榔,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'abo',木灰、灰燼,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
talsapal,傳承,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
totoS,腰裙,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Siyobokan,族服,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kamapoSak,釀酒師,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hahoraeh,脾氣暴躁,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Silam,觸摸;摸索,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
zomzomimos,舔舐,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kiSba:aw,餘興歌謠,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tikinSa:o',煮晚餐,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'omtot,放屁,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
balih,妯娌,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
bo:ok,腐爛,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'omahowiS,傷心委屈,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tiSpi',夢兆,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
binlengan,牆壁,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kinbaki'an,客廳,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pino'azis,房間,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
halapaw,床,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kata'owan,廁所,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kawnatata:a'an,雞舍,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'inalingo',圖像,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pahalayen,吊掛,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
malnobaboy,說國語,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
to'oya',政府,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
minahael,下一代,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hae'hae',九,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tirarangan,流著汗水,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
paktata:a',承接;靜候,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rarakep,摔角,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
babaton,男性耳環,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lalawir,女性耳環,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
saso'so'hae',各自;零散,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kabkabih,兩旁;鄰近,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Si'alroton,使聚合、團聚,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kinora:a'an,標示的;確認的,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kinon'es'es,使壓緊、使緊密,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hibo',搶婚,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mintani',停駐、停於,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pasabo',餵,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hahae:op,竹籩,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'omawpo',抱,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
monpoSal,兩次,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
komalahang,照顧,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'oes'oeso'an,野外,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
SibSiba:i',蟲,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aybolen,阻礙、影響,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kipazay,割稻,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lalibo',混淆,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ay'ayaehan,體弱多病,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ti'lihlihin,被霸凌、欺負,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
parae'oe:,請喝、請飲用,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lalazem,接、連結,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
montoroe',滴漏,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kasi'aelen,食物,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aSkanen,置放,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
taynga'nga',糊塗,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tomalek,烹煮,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'omalep,打獵,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
raro:o',名字,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hebengen,埋,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
se'e:en,勒,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
makak'opi:,疊、互壓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'a'oetoe',混濁,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
honha:i',沒多久、一會兒,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
sinakeban,屋頂,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
toliyab,漂浮,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pawpawmamno',囫圇吞,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
maySoSo:aw,逐漸,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rowaSek,居住,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
sin'elan,長相、體格,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ko'oemaeh,開墾,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hongiyo',鎮邪驅疫,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
laliyabo',豐衣足食,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rarepe',互相傳染,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
homa:ong,贖罪;求解,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hinaleb,橋樑;蓋橋,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
paSkira:a'en,蓋印章;選舉,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mal'az'aza',首次帶嬰兒回娘家,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
maSpalaw,中年回娘家,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
malraw,除喪,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Somorangi',收義子,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kati'azem,台灣天胡荽草,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
til'aet,切除、斷絕,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
maytipoe'oe',跪下,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'akoey,多,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pakosi'ael,吃午餐,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pa'alibih,使帶回,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lalobihlobih,來來回回,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hinhinibih,反反覆覆,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
maybih,後悔,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rasiwazay,分手、離別,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
maylal'oz,正確、符合,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
paSankinolol,掃墓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
minta:'olo',服喪,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Songa'nga',閉眼,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kakliyabo'an,財富、福氣,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
katiyawan,忌諱、禁忌,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sihoekhoek,被插入,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sisae:aeh,被傾倒、被潑灑,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tinrong,所支遣、派出,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rape:,祭場;場地,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ra:wak,牽手跳舞,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
minayna:a',等候中,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ineseng,芒草結,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
paywa:ak,丟棄,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kilakil,肩旗,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pakngalpae',寬,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sa'iSin,縫製,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tiwayen,吊掛,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
