ckv,chinese,source,kindOf,dialect,row_type,split
paRaybaotan,捕魚的人,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
melaziw,經過,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
waRi,外海,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meRiz,廣闊,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mezanga,肥沃;茂盛,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
matalin,遷移,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
melanay,土、土地,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bosos,漢人,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mazas,帶、攜帶,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meRaytaRon,開墾,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
miRaw,搶奪、搶,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
paqanas,慢慢、緩慢,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
matanaq,分開、離開,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
simqena,美麗,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
iRoR,河,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qawqawman,還是一樣、沒改變,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
silanas,出事,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
moman,再來、重來,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tiboR,南、南邊,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sobolin,留下,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
matatapon,混合,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tangi,現在;今天,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lazat,人,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tasaw,年,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pazokat,顯示出來,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kintani,多少,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
timango,原來,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
taytan,看到、看見,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
onnay,那時、當時,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
wanayka,可是、但是,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
saqayaw,第一次,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tima,少數、所剩不多,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
nisobidangan,算過的,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
temozos,到達;為止,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bolanan,月,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
RaytoRoz,最後面,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bakong,豐濱,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
seRai,和,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
keladot,樟原,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mazemon,很多,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
saqazosa,第二個、第二課,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sikawman,語言,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ossiqma,只有一種、只有一個,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
nizo,全都是,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
temanzipon,說日語、講日語,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
yao,有,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
temanholam,說國語、講國語,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Raqana,所以,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aimi,我們,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
baqibai,子孫,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
niz,全部,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Rayngoma,不太會,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
malemes,勤勞、認真、努力,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sinanam,學習、練習,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
taqsian,學校、學習的場所,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
temod,教、指導,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Raya,大,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
banang,財產、土地,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
semano,說、訴說,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mai,沒有,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qaytisan,很危險,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
semangi,製作、作、做,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aita,咱們,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
maw,原本,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qemapsi,破壞,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mesosozep,欺負,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qalalazing,沿海,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
melizaq,喜歡,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mezaki,很近、靠近,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
zanom,水,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ibabaw,高、很高,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qasop,大葉山欖,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pasi,可能,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tolis,線條;畫;圖案,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
wawaway,文化,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
napas,莿桐樹,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
dazit,年曆;月曆;日曆,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
samolay,開花,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
taso,新,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sasetaR,相同,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
zao,這個、這,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kisasa,記號,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qenabinnos,生活,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kolikozan,跟隨,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
zenna,田,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Raybaot,捕魚,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
semalaw,打獵,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qaqanan,食物,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
beRas,米,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qeman,吃,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tepiRis,蚌,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
san,牡蠣,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qabos,蝦,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
saoR,飛魚,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
nianiana,任何,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
binnos,生的、活的,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
omasan,醃製,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
simonang,方便、舒適;自由,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
nebian,保存、儲存,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qomni,什麼時候,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
dasam,汙染、髒,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pilay,累,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Ronanay,男生,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tazongan,女生,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sitongos,屬於,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bola,給,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kelisiw,錢,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
patoqaz,引進,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
poyliaw,肥料,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
simpailiw,換工,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meliwaliw,轉換、轉變,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meRasa,買,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kikay,機械,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
satabian,整地用,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ossa,不是,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kemiala,採集,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qaytened,撿野菜,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lezon,冬天,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
temikas,陷阱,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
semaRoR,下來,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
melimo,山羌,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
temiyam,開店,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
baliw,賣,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
melabin,過夜,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sabasayan,年齡階層,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tatezoma,各有不同,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
saqazawan,要負責、要扛,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
wanma,只有,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
osepat,四,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sining,青年,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pazazasan,帶領、領隊,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sinapon,分配、分攤、分工,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
temoloz,去執行;派遣,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
keminsa,檢查,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
naqoni,如何,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
oo,或是,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
paqenanem,一個人,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
satoRin,有能力、很厲害,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Raposia,當頭目,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meRamotiR,亂;沒規矩,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
niana,什麼,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mabobod,打架,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pasaya,整理、整頓,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bettoq,爆發;發生,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
paRsopaR,告知、報告,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qatoRiyas,直接,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
melabo,參與、參加,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
semanga,卸任,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
komong,顧問,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
semolol,答應、同意,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sokaw,不可以,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qaRayngo,無法,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tembes,拉,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
somdes,替換,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
senangi,設立、建蓋、製作、做,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
paqangian,完善、完美,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
saRibonan,確保安全,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tayzin,警察,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qizoanan,居住的,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
simRiboR,互相搶奪,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
soncyo,村長,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
padaylian,負責代替,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
maqayta,看見、被看見,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ita,咱們,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meniz,全部,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ozosa,二,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sapaqiRian,實施辦法,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
naqonian,該如何、要怎麼樣,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
