sxr,chinese,source,kindOf,dialect,row_type,split
varo'o,新,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
acacacihli,每個人,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlikicomia,倒數,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taivangʉna,台灣,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
laihlaolima,15,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
paiciana,排剪社,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vilanganʉ,美瓏社,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlihlala,雁爾社,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
talicia,塔臘洽社,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
marahlopo,消失,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
na'ʉvʉana,那舞瓦娜社,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hla'aloa,拉阿魯哇,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tarisitatʉkʉhlʉ,複雜,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kotomahlaʉ,少,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
malavalico,變遷,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kari,語言,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
manganʉ,努力,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maliaili,拯救,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
toromamainina,學生,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlitalʉlʉvakari,幫忙,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sialakari,錄音,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omarovacavacangʉisana,利用,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
anaʉ,珍貴,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlaama,祖先,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlimaro,居住,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
saringoso,上游,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlasʉnga,拉森阿,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sasaroana,地方,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takacicihli,自己,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
paranasasaroana,領域,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rʉhlʉcʉ,高中里,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
minoo,美濃,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mokakakoa,通往,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kani'inani,目前,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sakʉrahlʉtaongala,荖濃溪,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
lilionga,環境,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
papohla,加上,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
somokohlo,布農族,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
lokai,魯凱族,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
paioanʉ,排灣族,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakisia'a,閩南族,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tarocovongo,連接,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tokamia,界,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matomohlo,許多,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kiariari,早期,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
parivovotokohlo,漁獵,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pitokatokamia,範圍,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ohlamarʉ,燒墾,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mariʉvʉcʉngʉ,收穫,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'aolia,平埔族,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomotoro,指導,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mi'a'a,買賣,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
poliohlo,交換,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlakʉsaiianaia,國民政府,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
apasamanganico,鼓勵,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mimiliki,梅子,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sosoko,薑,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vavahlira,山坡地,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mangʉsa,芒果,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tasʉkʉca,愛玉,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
savoanʉ,藥,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tapohlaihlia,男子聚會所,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omalovo,覆蓋,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
poasipi,點燃,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aropaoaohli,輪流,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ʉrangʉ,苧麻,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlalangʉ,護身符,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
palisia,禁忌,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlipitʉtʉra,規定,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mitongoso,活動,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakiao,祭拜,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kopaiakaka,作怪,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
papacicoco'o,殺人,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maritʉtʉkʉ,毆打,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pirasavongo,賠償,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlivohlimarakaka,受傷,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
paomahlʉngʉ,承認,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pasapomolikapʉna,偷竊,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
toahlʉ,可以,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
comalihli,侵占,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pilaili,還,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
macimolikapʉ,姦淫,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
apatisangalʉia,抓到,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mairarahlo,蓄意,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
lalangicatamosolo,高山,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tapirasʉ,懸崖,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakoatoa,溫泉,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
cocomoasasasala,遊客,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matahlisao,清澈,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
palaili,恢復,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
saiahlʉisa,鯝魚,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maromoko,喜歡,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
palaliahlʉ,放鬆,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tʉkʉ,心,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
valako,獸皮,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
palasongoli,禦寒,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
siatamahlʉngʉ,製作,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
votohlo,鹿,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'okoi,羊,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taorongo,山羌,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aropatakʉcʉ,拉扯,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ma'ola,軟,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
lomilili,抹,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ʉvʉcʉngʉ,小米,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
intavangʉ,芋頭,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mairangʉ,地瓜,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vokori,山藥,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
viaro,玉米,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
posiamʉ,稻米,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlatʉngʉ,野菜,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
papa'a,肉,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
avavo,煮,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlatʉngʉhlilʉmʉka,採集,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
comacacavo,包飯,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pitalo'apoloaco,灶爐,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maihli,鹽巴,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ihlo'o,項鍊,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ilo'o,腸子,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
viaroahlamarʉ,薏苡,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mahlatʉra,堅硬,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tapaʉ,顏色,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omororo,串,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taroana,磨,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tahloro,洞,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlomanʉ,鐵,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
colahlʉ,骨,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ti'arʉ,金屬,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pahlivinga,物品,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
salia,家屋,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sapisasaroanana,地形,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomoalangica,高處,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
papanara,平原,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
oroamitana,東方,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
patapoahlana,西方,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maiahloahloasʉ,長方形,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kongokongo,屋頂,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlalongo,茅草,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakangahlangahla,翻修,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sahlangʉ,水筒,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vaarʉ,架子,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
risakʉ,倉庫,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taarʉ,床,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tapasina,浴室,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kisoahlahlama,講故事,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sipacʉcʉpʉnga,智慧,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlamatomotoro,教訓,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
macimicalivi,經過,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vaciki,左邊,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlanʉ,右邊,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavolonga,北方,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlovo'o,台灣欒樹,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mavahlaʉvaʉ,平安,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maacarʉmʉkia,生病,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mamacikia,死亡,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
oahlitakʉ,帶刀,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sahli,歌謠,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tilongocohlai,蜻蜓,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
patʉkʉ,隔壁,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
koli'i,昆蟲,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlamʉ,玩具,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tokoco,朋友,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makahlangolo,游泳,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'oracʉ,彈弓,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'isoohlo,陀螺,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sipasaolaolaʉ,遊戲,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pahloaili,回憶,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlaparangʉ'isisi,松鼠,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kilaliali,祭典,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
moahliso,戰爭,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
apaihlipihla,危險,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
morocʉka,狩獵,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mairoroma,建築,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tokalasʉkasʉ,編籃,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
