bnn,english,source,kindOf,dialect,row_type,split
sinpaqosil/sinpavaaz,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
taokdosa,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ata/mita,us,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
imoo,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
imita/inaam,our,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
isoo,your,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
inaak,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
isiata,his,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
iti,here,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
paaqpon,this,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ma'aq,what,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
simaq,who,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pantais'anon,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pakatoszang,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pinilomaq,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pinilomaq,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bananaz,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mavala,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pantama'on,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pantina'on,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ngaan,name,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bananaz,boy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
binanao'az,girl,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
binanao'az,female,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bananaz,male,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bonon,people,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
masnanava,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pais,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bolocoki,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
kisaco,police,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
kociosinsi,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
soini,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
Taoloo,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
isnanava'an,student,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tainga,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pinasaq,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mata,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
daqis,face,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ngolos,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bongo,head,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
koskos,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
lotbo,body,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ngotos,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bantas,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
nipon,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qolbo,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qaidang,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tian,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
soso,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bikni,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
va'o,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
vaqvaq,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
hiko,back,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
kahong,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bahak,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qomon/qapotong,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
masqanan,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
noka/lo'lo',wound,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tiboklav,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qataz,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
biqi,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bizoq,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
balang,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
paqav,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tanodoq,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ma'ma',tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tisqotan,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tanodoq,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
saslo,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
modan,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
boqtong,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
soksok,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
koso'an,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
podol,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
nimnim,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ngisngis,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ikol,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
babo,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
aso,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
sidih,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
naong,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qazam,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
iskaan,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tolkok,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
hotong,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qanvang,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
toqoo,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
vanis,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qasipa,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ivot,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
hoknav,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tomaz,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qatabang,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
talikoan,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
katokato,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pohot,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tampahokaz,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
lilio,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pantao'an,male,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
vivii,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
baqosaz,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
kakosong,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
zoo,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
istina,female,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
kakalang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pani,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
salinataz,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
dolpin,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qaloa,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
hoahoa,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qazam,waterbird,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
sinok,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
baqosaz,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tombi,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
vaqa/ngabol,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qalodong,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bonbon,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
paaz,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
lokis,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tai,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
lisav,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
izok,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
poaq,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bahat,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ismoot,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
po'i,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
siqi,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
laas,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bonglai,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ismoot,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qoaz/valo,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qalop,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
bonoaz,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
kakaonon,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
lamis,root,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
taolas-dangqas,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
sanglav,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mongi,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tanbona,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
banhilaz,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
aoqsa/samang,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
izok,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
moa/talimoa,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
lapat,guava,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
soi,money,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mali/boil,ball,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pangka,table,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
ispapatas,pen,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
paloso/longqo'an,chair,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
io,medicine,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tennao,computer,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
talolong,umbrella,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tokii,watch,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
kava,hook,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
doon,rope,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
qapong,sieve,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
daos,knife,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
