xnb,english,source,kindOf,dialect,row_type,split
iko,I,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngoain,he,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kita,us,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngoani,they,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kimia,we,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kitana,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
isa/isoa,that,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nesi,here,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nesa,there,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makasia,this,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
neni,what,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makanano,how,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
neni,who,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nano,where,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makanano,what,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
miseni,why,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
coma,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kintoranga,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kincaoa,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'ocangʉ,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ravai,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nipo'aravanga,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
namo,grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
caokia,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kinvavara,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kana'oa,brother,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nganai,name,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tangria,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mano,child,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nanakʉ,female,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
saronai,male,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cao,people,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'iseeng,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
takitotoroa,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cangini,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kaptaan,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kesaco,police,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
siaocang,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
sʉnfoo,father,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
sioni,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
taoroo,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
seto,student,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tʉkʉ,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
paisi,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vo'in,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cimi'i,face,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ivici,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
navongo,head,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'anoka,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ramoco,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tina'an,body,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tangʉca,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'acipi,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
anisi,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vʉkʉsʉ,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nimoro'o,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'aramʉ,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pono'o,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vʉcʉkʉ,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
momo,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'aniacanga,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
saisi,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kokoca,back,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
rapatʉ,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vara'ʉ,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tokono,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
si'ipi,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngai,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ʉvʉ,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vakʉrʉ,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
civoka,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
civoin,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngai,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'angirisi,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vava,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pari,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'ʉmʉca,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'avasʉ,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tavokoa,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
avoran,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ʉ'ʉrʉ,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
po'ongo,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ta'ica,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nikiniki,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vʉ'ʉrʉ,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
konco,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
icici,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
totoi,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tacao,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
takoisi,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngiao,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tapinange,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
votokoro,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tarokoka,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngʉkao,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karavong,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
takarora,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
poka,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vavoro,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ararira,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vonai,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
okono,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
comai,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'atatavangʉ,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tamcoronga,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ta'anna,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
patʉ,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
voto,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
sikorapʉ,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'aniora,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ano,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
konga'a,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngica'ʉ,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ococo,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'arasakai,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tasiang,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'oma,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'apasʉ,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nannare,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pakʉ,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'apicara,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
taporoo,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
takʉkʉa,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
takʉrʉma,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kacio,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vacoko,waterbird,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nosoko,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ococo,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'atioma,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vi'i,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tan'a'a,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tamtito,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
o'ongo,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
taroning,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nivanga,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
posiam,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karo,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tanʉkʉ,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ranʉngʉ,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vongavong,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tangtang,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cʉnʉ,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
viaro,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
to'omangʉ,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maco'o,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pangtan,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cʉnʉ,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cipono,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mamiriki,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mamiriki,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngaca'ʉ,treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tangʉrʉngʉrʉ,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'arikoriki,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ramisi,root,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tavo,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cepo,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mai,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vakore,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cakʉsʉ,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tani,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
rapʉ,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'ome,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vʉ'ʉ,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
voata,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
