szy,english,source,kindOf,dialect,row_type,split
pangkiw,half,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kiso,you,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kako,I,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ciniza,he,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kami,us,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
koheni,they,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
namoay,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mitaay,our,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
noheniay,their,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
misoay,your,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
makoay,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
nizaay,his,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kami,we,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kita,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mitaay,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
koyza,that,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tini,here,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tiza,there,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mahini,this,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
canan,what,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mahica,how,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cima,who,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cowa,where,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mahica,what,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kya,why,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
laloma'an,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
acawa,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ali,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kadabo,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baki/bai,grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
acawa,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cinki,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
calekakaan,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakama,brother,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sinawama,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sinawina,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ngangan,name,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cabay,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
wawa,child,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatayna,female,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatama,male,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tademaw,people,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
misaydan,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
saydan,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ada,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tapang,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lomowa,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tayling,police,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sasaydan,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sinbo,father,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
siwni,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
Holam,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
limecedan,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
micodaday,student,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tangila,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
padahaw,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mata,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bihid,face,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
laway,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tangah,head,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kanos,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ozip,body,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cihek,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
koko',foot,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ngipen,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bokes,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
izang,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
titi,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
zais,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bili,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
coco,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tekel,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
abala,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ngazoy,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kolol,back,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
banges,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bala',lung,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baloco',heart,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ciko,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ngangay,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tosoz,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
doka,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bitoka,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
atay,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
teloho',phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
biloo',goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
simal,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
badowac,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
besi,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatozo',thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
takolaw,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sema,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatelecan,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
talozo',finger,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tanang,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
liel,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pokoh,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pakah,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ailoc,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakili'an,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bowa',kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bilbil,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
banoh,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kikol,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
paboy,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
waco,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sizi,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
nani',cat,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ayam,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
boting,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tolakok,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ongay,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katalalan,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balaot,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
deko,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kiwmah,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bilanga,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bao,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lokedaw,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tomay,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dadipis,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
beded,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adipapang,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakato,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kapolos,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalabaw,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
likes,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lalangaw,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
wado,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tama,male,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tadok,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
atikak,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaketi,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kabos∕ozang,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
zo,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sobayo,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
olang,female,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dadayday,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sapikpik,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
padadoki,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kacomoli,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cilocilok,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
palang,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
podoh,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
gaciw,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
timamenok,waterbird,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dibo,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatekoh,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
atimela,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakohkoh,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ak'ak,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
totoy,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ngawa',horn,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
padakaw,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
paza',banana,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tipos,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kilang,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tali,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
papah,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kama,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balo,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tamolak,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lotok,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kobkob,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
aok,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ciid,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
heci,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
padingad,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lotok,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
masay,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lopas,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sonsoli,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
angangan,treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatangila,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kamolaw,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lamit,root,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bangah,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ninzin,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
incay,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mogi,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
koleto,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hinoki,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sapal,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sapaloma,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mibosi,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mami,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
