pyu,english,source,kindOf,dialect,row_type,split
ido,that,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kani,here,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kado,there,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kemani,this,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
eman,what,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
komoda,how,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
komoda,what,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kinaraasa,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
wadadiyan,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
toroma'an,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
koravak,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
koravaklri,sister-in-law.,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
mosavak,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tomowan,grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
toroma'anlri,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kowaravakan,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
marowadiyadi,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
iva,brother,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ama,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ina,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ngadan,name,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ma'inay,boy,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vavayan,girl,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'aliyan,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lralrak,child,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vavayan,female,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ma'inayan,male,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
cao,people,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ising,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sinsi,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'alra,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ayawan,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lomowa,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kinsas,police,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kociyo,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sinposang,father,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
siwni,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
Rotiya,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
volavolayan,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
temakakesi,student,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
calinga,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
pa'a,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
maca,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
modingan,face,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
odong,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
cangoro',head,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
hamay,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
dadek,body,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ongcan,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kowi,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
walri,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'arevo,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
dara',blood,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
isi/tiwngan,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tongor,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tiyalr,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
soso,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
peri',calf,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'iyav,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
timir,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
likodan,back,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
rovic,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vala',lung,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'avovong,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
siko,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ngalay,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
todo,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
voli',wound,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vicoka,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'acay,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tama,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vo'er,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'arev,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
valava,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'apodo,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'acengalran,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tokeraw,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lidam,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
poparecan,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
dariwawa'an,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
saringan,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ni'en,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
alo'an,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tedek,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lre'lre',armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
varasarasa',kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
virvir,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
homolr,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ikor,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lriyong,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sowan,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
takolris,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ngiyaw,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'ayam,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
volraw,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
voyo,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ongay,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
hong,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kakiyas,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'alreco,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vavoy,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
toro,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
onan,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
likolraw,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
comay,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lralripis,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tengteng,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sirosiropan,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kakamang,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
voot,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'avotar,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
pedped,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ngangalaw,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
valri'acengan,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
valras,male,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
maymay,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'oretati,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
paradare',wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'edang,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
zo,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
eva/oma,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
harang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
visvis,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
pakpak,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lapic,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
dindin,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sasali,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'acilawlaw,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'ivavoreng,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
gaciyo,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
rovo,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
tidolr,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'atimla,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'ap'ap,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
wa'wa',crow,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
koko,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
so'ang,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kasimalay,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
velrvelr,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lomay,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kawi,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vo'ir,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vira',leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vartenok,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
'apoc,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
siyak,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
calowalon,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
kodomo,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vasikaw,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sa'ad,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
vowa',fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
