trv,english,source,kindOf,dialect,row_type,split
toro,three,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
spac,four,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
motoro,six,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mopito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mospac,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mngari,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
maxal,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mposal,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mtorol,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
spatol,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mrimal,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kbkoy,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
doma,some,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ntxan,once,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
lnhowan,bunch,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
klowanan,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mnddha,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kana,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dmka,half,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
iso,you,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
yako,I,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hiya,he,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
yami,us,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dhiya,they,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
namo,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
nami,our,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ndhiya,their,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
niso,your,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
nako,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
nhiya,his,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
yami,we,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ita,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
nnita,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
way,that,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hini,here,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hiya,there,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mano,what,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mphoya,how,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ima,who,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ino,where,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hmoya,what,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hmoya,why,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bobo,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dadan,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
msdongos,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ango,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ina,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
snaw,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ray,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mnswayi,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hangan,name,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dangi,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
laqi,child,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qridin,female,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
snaw,male,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sediq,people,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ising,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mptosa,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
payis,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bokong,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
goro,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
keysaco,police,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kocyo,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
singho,father,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sojyo,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
Telo,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
woowa,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
birac,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
btriq,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
doriq,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dqras,face,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qowaq,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tonox,head,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kokoh,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bawa,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hiyi,body,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mohing,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qaqay,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ropon,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
snonox,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dara,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wawa,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kdorok,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
boyas,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
nonoh,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sngcako,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hwirang,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bkloy,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bokoy,back,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qraqil,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
baraq,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
halos,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bqlic,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
loqah,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
lhbon,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
romol,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
siyaq,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
msiyang,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tkrang,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
pahong,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
welo,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hma,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hwinok,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mring,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
waro,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
pongo,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
solay,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qilo,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qdowan,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qoro,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
obal,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ngongo,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
baboy,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
holing,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
miric,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ngiyaw,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qdoda,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qcorox,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rodox,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rongay,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dapa,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
crayox,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tokong,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
boyak,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kolok,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qoyo,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rklic,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
komay,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sopor,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
diyadan,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tlaway,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
probaw,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
brihoc,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
preykay,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rngedi,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
walo,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
balas,male,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bibi,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bicor,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bngohor,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bolong,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bobo,female,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
krarang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kdiyac,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
palic,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bkaric,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
pngocon,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
poroc,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qdiraw,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
oyah,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
gaciyo,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rodo,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
srting,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tmaqoy,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tiyaqong,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
orok,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
orong,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
koton,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
blbon,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qhoni,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sari,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wasaw,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
modo,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
phpah,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bawan,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
lhngay,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ddima,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
cida,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kalac,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
spriq,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wahar,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
aring,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bnowan,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
riwa,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tmato,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wamil,root,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ciyak,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
eyngcay,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mogi,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
lnbay,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qolic,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
nayay,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rhak,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ricah,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tlahi,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wata,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
patas,book,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
pila,money,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
boro,ball,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qnawal,telephone,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
impico,pen,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wakac,chair,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
iyo,medicine,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kanpyotar,computer,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
obong;trasi,umbrella,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
daong,hook,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wasil,rope,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qomi,needle,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
cida,twig,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
btoko,sieve,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
yayo,knife,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
aso,ship,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
