sxr,english,source,kindOf,dialect,row_type,split
isikanako,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
isikanaisa,his,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ihlakia,we,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ihlahlamo,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
isikanakia,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kana'a,that,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
naani,here,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
naana,there,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aonani,this,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
misaini,what,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aonini,how,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ngahlaisa,who,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ninao,where,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ita'iaraisa,what,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tiaraisa,why,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ama'a,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ina'a,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
moricoco,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
osomanʉ,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
alimohlimilavaʉ,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
alimo,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlamo'o,grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
osomanʉ,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
valʉʉ,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ngahla,name,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tokoco,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mamaini,child,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlaina,female,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlahlosa,male,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
coco'o,people,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maisasavosavoanʉ,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakiiatoroa,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahla'a,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kapitanʉ,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
cocotakoliacʉ,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'aomo,police,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlakʉsaiiana,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
calinga,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vanarʉ,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
volaihli,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sapi,face,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ngoso,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vongo'o,head,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'ahloko,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ramoco,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tihla'ahlʉ,body,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ngongoro,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
saaʉ,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlii,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vʉkʉʉ,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
cara'ʉ,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
papa'a,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taoco'o,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
civoka,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'ososo,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavʉhlʉvʉhlʉsaʉ,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahliasa,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlʉaʉ,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
likoso,back,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kolalongo,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vara'ʉ,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlikʉlʉcʉhla,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aracʉnga,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ngali'i,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
lasahlʉ,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlivo'o,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlaomo,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'aci'i,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
toici,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vi'ili,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
imarʉ,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vavaʉ,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
palii,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taomorahla,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taronga,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'avasʉ,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ʉcʉlʉ,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pingiramoco,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rahlʉnga,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
alʉmʉsa,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'amosola,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
koangʉlʉhla,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlihliki,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sopihli,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
lopihlingoso,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'okohloco,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'isisi,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tahlakʉ,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tasao,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'okoi,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ngiao,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlamʉ,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
votokohlo,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
torokoka,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tapohlacʉngʉ,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kalavongo,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tamociakʉ,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
alʉmʉhlʉ,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tokohlolo,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vohli'i,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
lokohlo,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
comi'i,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'atatavangʉ,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tilongocohlai,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tapo'ai,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sarapo,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlaparangʉ'isisi,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlatikasʉ,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'alaliamʉ,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlo'o,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tangalohlo,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
voriia,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'arisakai,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kalavongotaisacalinga,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tarʉmʉcʉkavahlʉ,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taihloangʉ,female,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'apasʉ,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlahlali,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'alapongo,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'alapica,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavohlinga,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
patʉkʉrʉ,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takaokao,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'aira,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
konga'a,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlamʉsahlomo,waterbird,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
limo'o,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
loloco,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'atimola,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavavoso,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavoa,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tamatito,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'oongo,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavotoko,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavʉhlʉvʉhlʉ,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
posiamʉ,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kio'o,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'intavangʉ,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rahlʉngʉ,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vaakʉ,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavahlihla,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vosiiakʉ,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sʉsʉngʉ,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
viiaro,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
raco'o,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rapi'i,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maso'o,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pangʉtahlʉ,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sʉsʉngʉ,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
voici,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mimiliki,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tangʉrʉngʉrʉ,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sasaovohlo,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ramii,root,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tavo'o,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takongokongo,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vokori,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
carokacoka,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
soli'i,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
totosoli'i,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vaakʉ,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rahlʉngʉtamako,tobacco,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
papolotanʉ,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlavatʉ,guava,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vahlitoko,money,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taʉhlʉkai,ball,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
too'o,table,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
