tao,english,source,kindOf,dialect,row_type,split
jia,here,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
dang,there,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ori,this,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ikongo,what,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manngo,how,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sino,who,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
jino,where,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makong,what,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ikong,where,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meyteyteysa,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zipos,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apo,grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kataned,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
icyarwa,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kakteh,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kaka,brother,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maran,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kaminan,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngaran,name,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kagagan,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kanakan,child,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavakes,female,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mehakay,male,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tao,people,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
koysang,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sinsi,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kavosoyan,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
panirisiringen,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kisat,police,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sinbosang,father,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
cyokok,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mamekeh,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivatvatek,student,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
talinga,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
opa,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mata,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
moing,face,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngongoy,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
oo,head,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
koko,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
lima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kataotao,body,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
momodan,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ai,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngepen,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ovok,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
rala,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
asisi,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zozogwan,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
velek,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
soso,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aztek,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pakaw,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomid,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
likod,back,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kolit,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apoaw,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
taoz,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
siko,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngahay,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
otod,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
noka,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vitoka,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
atay,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
cipa,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tava,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tagzang,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apdo,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
cinrarakeh,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tetehnan,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
lila,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kawakan,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
annget,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zagow,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
atang,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
popotohan,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kekelhan,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mao,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vivi,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
bobow,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipos,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kois,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ino,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kagling,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
koza,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meyyasasalap,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
among,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manok,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sazo,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
baka,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tozatoza,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
totoo,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vozaw,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
irang,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
volay,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vasaw,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ponay,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ahahawa,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
karam,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tamonong,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
naned,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tapipi,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meywaney,male,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kahemes,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kalwalwaci,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tolol,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipon,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mammocipot,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
baka,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavinai,female,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
teyngi,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
langalangan,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
panid,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kapanipani,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
taveh,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manai,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vahao,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kahemes,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tolol,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tatomok,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ozong,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zozon,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vineveh,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kayo,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sosoli,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
voong,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vazacinok,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
savong,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
piniaw,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tamek,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomozokosi,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kawalan,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yangaw,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pinapo,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tamek,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vazit,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yapoan,treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
talinga,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tamato,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tazabaso,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
lopo,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
insay,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mogi,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ovi,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
naza,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vottow,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
rahalap,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tabako,tobacco,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pinalagi,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vansedio,guava,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vakong,book,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nizpi,money,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
bozo,ball,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
jekei,table,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
dingwa,telephone,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipivatvatek,pen,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
lilisnan,chair,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kosozi,medicine,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
payong,umbrella,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
toki,watch,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sasagit,hook,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kolili,rope,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
rayom,needle,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kazapaz,sieve,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipangan,knife,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tatala,ship,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tetedted,scissor,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zateb,charcoal,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
bakic,bucket,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zampo,light,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
toong,lid,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
lolit,filth,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
movo,quilt,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ciawang,bowl,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tawaz,net,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
gegetget,saw,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vakong,paper,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kopo,cup,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
alavat,bag,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sikopo,turner,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zaig,axe,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanopit,tong,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ireyrayan,bedding,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kagami,mirror,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
paypinapinan,tool,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
valanga/tagow,bottle,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
iros,spoon,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
saza,dish,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
asiasing,photograph,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
siken,soap,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sorod,comb,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
