ckv,english,source,kindOf,dialect,row_type,split
otolo,three,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
osepat,four,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
olima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
onem,six,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
opito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
owalo,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
osiwa,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Rabetin,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Rasibo,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kiya,some,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kelisa,once,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sapenaypayan,bunch,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lamangan,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
salazatan,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meniz,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
dadosa,half,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aiso,you,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aiko,I,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aizipna,he,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aimi,us,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qaniyao,they,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aimi,we,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
aita,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
'nay,that,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tazian,here,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tawian,there,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
nazao,this,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
niana,what,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
naqoni,how,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tiana,who,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tanian,where,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
manna,what,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
manna,why,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qenasoani,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qenasoani,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tisin,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tengan,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kedabo,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
napawan,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
nansoani,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qaqa,brother,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tina/bai,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
nangan,name,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Ronanay,boy,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tazongan,girl,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kapot,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sonis,child,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tazongan,female,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Ronanay,male,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lazat,people,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ising,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
patodan,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qenabid,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Raya,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
peRanisan,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tayzin,police,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kociw,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
simpo,father,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
holam,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kaying,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pataqsian,student,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kayal,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
penaniyan,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mata,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
zais,face,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ngibiR,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
oRo,head,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qenoqos,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
izip,body,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
onong,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
zapan,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bangRaw,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
boqes,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Rinang,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
'si,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tengoRed,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bedes,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
siso,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
betis,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
teqiyaR,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ngazoy,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
toRoz,back,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lobong,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
badaq,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
anem,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
siko,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ngangay,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tosoz,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lozit,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
poqenanan,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
penazengitan,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qat,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
belohok,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
siti,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
beRing,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pinneng,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
semoRaya,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qeloqong,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lidam,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sawaq,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tenoded,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Romzang,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lolen,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tatas,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ponoz,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qedqedan,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
meRapoq,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tobil,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
banos,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
liqod,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
baboy,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
waso,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sizi,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sako,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
adam,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
baot,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
telaqoq,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Rotong,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qabaw,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
biyat,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
koo,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
deqono,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
siqqay,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
loqenaw,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tomay,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sipes,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
potit,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
polaw,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
paqaw,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lapis,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
melabaw,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Ris,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
langaw,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pennay,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tama,male,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kelaba,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
keladot,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pennay,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qabos,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
zo',elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
kebayo,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tina,female,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
waRang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lalay,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pakoz,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pelikid,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
loli',snail,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
molin,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qiyol,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lozem,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
engo,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
RipRip,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
toliq,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
timRa,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bibing,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qaq,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tito,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
waki,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
teboqoR,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
benina,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sabaq,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
paRin,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sebata,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
biRi,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
molo,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
simao,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
salo,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
soway,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
mais,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
tenayan,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
pising,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
'si,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
onglay,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
soway,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bates,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lopas,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
sinsoli,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
soykoo,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
beRoR,treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
motideng,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
Rabas,root,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
qebangaRan,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
saytaw,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ingsay,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
belaysan,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
beRasok,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
bangon,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
