xsy,english,source,kindOf,dialect,row_type,split
hae'hae',nine,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lampez,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sam'iyaeh,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mato:ol,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
monoSpat,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
monaseb,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
monSayboSi:,sixty,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
monmaykaSpat,eighty,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
monhae'hae',ninety,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaboehoel,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
monhael,once,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sinrahoe',kind,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hahi:il/sabsaboeh,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tiniroSa'/hinghingha'an,half,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
So'o,you,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
yako,I,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
siya,he,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
yami,us,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lasiya,they,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
yami,we,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ita',let's,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hiza,that,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rini,here,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
nakhini,this,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kano',what,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
nak'ino',how,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hiya',who,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hayno',where,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ampowa',why,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
yaba',dad,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'oya',mom,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aehael,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aeh'aehael,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ba:iS,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
towanay,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
yanay,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
koso',grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aeh'aehael,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aehael,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mama',uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ata',aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
raro:o',name,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kapa'onhaelan,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
korkoring,child,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
minkoringan,female,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kamamanra:an,male,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mae'iyaeh,people,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
sinsang,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kamatortoroe',teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aelae',enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tahoki',sir,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kinSat,police,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tahoki',principal,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kabina:o',miss,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kamakiSka:at,student,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rinkelan,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
masa',eye,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kinmae'iyaehan,face,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ngabas,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ta'oeloeh,head,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaklokoeh,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hima',hand,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
basang,body,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kangeselan,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ae'ay,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ramo',blood,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
bori:,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rae'iS,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tiyal,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hoehoe',breast,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kinotimo'an,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aba:a',shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ngo:o',chin,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hikor,back,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
bangeS,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
bae:ae',lung,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ae:o',heart,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hiko',elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
haSab,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
poe'oe',knee,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pangih,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
biskol,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rae'ael,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
haha:ok,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
bi'i:,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sima:,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
SawiS,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pae'zo',gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
babaki',thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaSlar,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaehma',tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kiri:,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tatroe',finger,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rarang,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
wareng,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
linotor,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ka'iyayan,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
koko',kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
taroS,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kiko:,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
baboy,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aehoe',dog,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Siri',sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ngiyaw,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kabkabaehae:,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aelaw,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tata:a',chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hosong,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
katin,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
takem,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kal'oe',owl,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
waliSan,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rakolo',turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Siba:i',snake,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hekheklaw,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
somay,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ra:hib,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ay'ayloSay,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
papa:o',butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tokangang,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kabhoet,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ae'roS,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tatango:,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
nga:aw,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
walwalo',honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
balaS,male,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
bibi:,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
babnal,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'oeson,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ba:ong,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hanowan,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hipo',female,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ka:ang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lala:i',cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
palir,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ziyas,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mona:,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pe:es,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kowaw,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ae'aewzaeh,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tababon,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
wakwak,waterbird,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
libo',nest,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
katorhoer,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kae'tim,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
haeShaeS,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ang'ae',crow,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kilkilo',puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kah'ong,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'a'aSem,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tawmo',banana,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
ka:mez,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaehoy,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rokol,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
biyae',leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'iyok,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pongaeh,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lilom,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hinhinbetel,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
baesaeh,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
raromaeh,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
boway,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pangrang,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hinbetel,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
wa:or,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'a:imapizosan,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'a:im,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pingi',treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
topon,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
wawarang,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hames,root,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
karali',cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sako:,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hinoki',cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
basez,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
binSi',seed,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'a:imaboehoe:,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
morok,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tamako',tobacco,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
poway,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
lapowar,guava,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kina:at,book,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
rayhil,money,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
mali',ball,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
talka:,table,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
