pwn,english,source,kindOf,dialect,row_type,split
poita,once,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tacosoan,bunch,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kinanemaneman,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tacaocaoan/maretailj/maqaqecev,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
penoljat,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
papamaw,half,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tison,you,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tiaken,I,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
timadjo,he,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tiamen,us,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tiamadjo,they,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
nimon,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
niamen,our,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
niamadjo,their,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
nison,your,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
niaken,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
nimadjo,his,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tiamen,we,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
timitja,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
nimitja,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
azoa,that,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
anema,what,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kemoda,how,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tima,who,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ino,where,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
makoda,what,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
iyainowan,where,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
aqomaya/akomaya/makoda,why,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sikacekelj,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kasoso,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
valjaw,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tarev,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tarev,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vovo,grandchild,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
cekelj/valjaw,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
pinotarevan,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ngadan,name,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
oqaljay,boy,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vavayan,girl,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kakedriyan,child,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vavayavayan,female,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
oqaljaqaljay,male,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
caocao,people,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
koisang/ropocemecemel,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
rotolotolo/santemolo,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qalja,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
isasosoan,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
salotjolotjok,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kincadr/kisaco,police,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sinho,father,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sioni,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
gipaw,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sito,student,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
calinga,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
djapalj,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
maca,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
modingan,face,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
angalj,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qolo,head,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kaljosekosan,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
lima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kinacavacavan,body,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ngodjos,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kola,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
aljis,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qovalj,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
djamoq,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qalom/votjolj,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
djaqis,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjiyalj,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
toto,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
votevotan,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qavan,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kaviz,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
oqolj,back,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qaljic,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
va,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qavovong,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
piko,elbow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ngadjay,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
congal,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
piqay,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vicoka,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qacay,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
djilay,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qabiri/macamilig,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qalom/abola/qalev,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vidoat,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qapedo,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
volongan,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjigeraw/driaqolan,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sema,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
siyoc,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
galjaogavan/caljodjoqan,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
zalangezangan,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
liqo,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
regeregan,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qodjodjo/djilj,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
odjon/drengelan,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ljeqeljeqan,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
podro,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ljelet,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sedeng/qovalj,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
iko,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
dridri/qacang,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vato,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sizi,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ngiyaw,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qayaqayam,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ciqaw,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
koka/djorikoko,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
drail/pocaowan,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
gong,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ceqer/qobeqob,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ljeqo,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vavoy,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjangorongoro/tjokaw/cacokecokan,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qatjovi,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
likoljaw,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
comay,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qaozong/qatjatjabang,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qoljicacengelaw/qaqodroy/tombo,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kalalazong/kamadrimadri,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
komakoma,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
votj,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qavotjar,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
cacarag,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
lalangaw,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjainan,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
bibi,duck,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qatjodray/qatjolalj,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
karovenan,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qozang,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
zong/zo,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
oma/ema/ba,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vavayan,female,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
gang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
viyadr,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
palalj,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ngaci,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kerilj,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjakanga/koaw,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sasiq,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
maimay,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjidriyolj,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qatjimtjim,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
zepong/qaraba,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qaqa,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
koko,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
teqong,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
bongo/tjibongo/cirawob/qaljaljongas,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
veljevelj,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qasalj,paddy,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kasiw,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vasa,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
asaw,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
valjetjok,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
veljangaw/paqoljis,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qavetjitj/siyak,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
cemel,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vaqovaqo/ljombi/ponog,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qao,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ricing,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vangalj,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
pangodralj,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
cemel,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vaodj,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
momo,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kodamono,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qapolo,treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
djaronoq,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tomato,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kapaz,root,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
voas,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
nizing,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ingcay,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
mogi,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qaqilj,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
taleng/sogi,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vonavon,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
vosam/gosam,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
qodis,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
kamoraw,grapefruit,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjamako,tobacco,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
poljotjan,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
ljabatj,guava,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sapitj,book,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
valjitjoq,money,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
