tsu,english,source,kindOf,dialect,row_type,split
mposko,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mtoeho,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
msʉptʉhʉ,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
meemohʉ,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
monmʉhʉ,sixty,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mpʉtvʉhʉ,seventy,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mvoevʉhʉ,eighty,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
msiohʉ,ninety,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
i'nʉskʉ,once,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
conofangʉ,bunch,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mav'ov'o,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
naconia,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
acʉhʉ,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
aatiski,half,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
soo,you,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
a'o,I,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
taini,he,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mihin'i,they,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
noomo,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
noohin'i,their,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nooso,your,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
noo'o,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
noosi/nootaini,his,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
a'mi,we,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
a'to,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nooto,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ta,that,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tan'e,here,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ta'e,there,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mais'a,this,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
coma,what,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maineno,how,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sia,who,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mainci,what,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maincis'a,why,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
amo,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ino,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'oahngʉ,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
vcongʉ,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ahngʉ,sister-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
vcongʉ,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nanat'ot'ohaesa,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ohaeva,brother,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
amoconi,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
inoconi,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ongko,name,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nanghia,friend,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
oko,child,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mamespingi,female,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hahocngʉ,male,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
leaotothomʉ,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
lema'cohio,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hangʉ,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
taicini,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yaksai,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
lesmo'eisi,police,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kooco,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sʉnfo,father,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sioni,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
koyo,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fainʉ,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mcoo,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pino,face,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ngayo,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fngoo,head,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ho'o,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
emoco,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
feango,body,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ngʉcʉ,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
t'ango,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hisi,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
f'ʉsʉ,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hmoyo,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
foo,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sapci,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
bʉyo,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
non'o,breast,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mabʉya,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ei'si,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yasngʉ,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
f'oho,back,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
snʉfʉ,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nʉtnʉ,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
t'oho,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ngeoi,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kali,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
h'oh'o,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
cfo'o,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
h'onʉ,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
f'iiei,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hʉsʉ,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
faengʉ,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pao,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
lolkomeoisi,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
vihi,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
omo,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
cpʉh'o,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
lolko,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
haengi,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sʉnʉ,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'vokʉ,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pcoo,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
h'ih'i,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pcʉyʉ,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
somso,lip,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
m'om'o,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
civci,tail,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
feʉ'ʉ,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
av'o,dog,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
moatʉ'nʉ,sheep,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ngiao,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
zomʉ,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yoskʉ,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
teo'oa,chicken,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nghoo,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'oachomo,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fo'konge,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
poko,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fozo,boar,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
acipa,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fkoi,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
e'oho,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
cmoi,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kaemema,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
toiva'va'a,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tokeoya,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kakato,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pokto,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
bohci,vole,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mo'eocʉ,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yoezomʉ,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
teongo,honeybee,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
fafcoya,male,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
polo,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
veiyo,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kos'oza,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
zoo,elephant,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yongo,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nonoe,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yopngo,wing,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kopica,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kokeot'ee,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ohngo,sparrow,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eiski,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sosea,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ngacoo,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sko'o,nest,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ceoyo,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
timeo,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kengfaf'oha,cobra,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tfoa'a,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tooto,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
songo,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
lio,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
cnʉmʉ,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
evi,tree,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ocei,taro,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ehʉngʉ,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hov'o,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
bʉvnʉ,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
posiahʉ,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kokozo,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pohe,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kaapana,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ehti,branch,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
beahci,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'ongeai,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kokozo,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
emco,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
bʉnʉvhʉ,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
soiko,fruit,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
thʉcʉ,treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
keetʉe,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tapein'a,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
emisi,root,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tofʉ,cucumber,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
taikong,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
micifeongo,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
heome,wheat,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
f'oehofoyo,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
hinoki,cypress,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tothoca,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
toto,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
'ome,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tamako,tobacco,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kʉyʉpa,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
kamae,guava,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
